rawDataOut1,rawDataOut2,rawDataOut3,rawDataOut4,rawDataOut5,rawDataOut6,rawDataOut7,rawDataOut8,Action
41344,40711,39486,39921,39170,36561,39249,39960,Chuck Grip
39763,39525,39723,39605,39644,39644,39605,47510,Chuck Grip
39249,39763,39525,39644,39644,39407,39051,45889,Chuck Grip
39051,39091,39486,39605,39486,39328,38933,42688,Chuck Grip
39209,38024,39565,39446,39407,39446,39209,39605,Chuck Grip
40316,38419,39644,39525,39644,39723,39644,42213,Chuck Grip
41502,40948,39842,39802,39960,39960,39921,44348,Chuck Grip
41739,42134,40039,40197,40632,40276,40000,43320,Chuck Grip
41146,42095,40197,40316,40751,40514,40039,40711,Chuck Grip
40553,41423,40276,40237,40514,40435,40039,38379,Chuck Grip
39921,40593,40158,39842,40079,40039,39842,36838,Chuck Grip
39130,39960,40000,39802,40079,39921,39644,35889,Chuck Grip
38774,39486,39921,39842,40039,39842,39446,35810,Chuck Grip
38933,39209,39881,39842,40000,39881,39446,36126,Chuck Grip
38933,39130,39763,39921,40118,39960,39446,35968,Chuck Grip
39012,39288,39723,39921,40158,39842,39209,35336,Chuck Grip
39446,39881,39842,39881,40118,39763,39091,35691,Chuck Grip
40118,40790,39881,39881,40158,39802,39367,38616,Chuck Grip
40514,41502,39960,39802,39802,39763,39605,40079,Chuck Grip
40395,41699,40079,39684,39525,39684,39763,40672,Chuck Grip
40118,42213,40039,39644,39525,39644,39842,40869,Chuck Grip
39881,42609,40000,39684,39644,39763,39960,41423,Chuck Grip
39763,42016,40039,39842,39842,39921,39960,42450,Chuck Grip
39723,41107,40118,39960,40000,40039,39802,42411,Chuck Grip
39605,40079,40118,39921,40197,40118,39763,40435,Chuck Grip
39367,39209,40118,39723,39960,39960,39881,38142,Chuck Grip
39565,37944,40000,39525,39684,39723,40395,39288,Chuck Grip
40158,37431,39802,39446,39407,39802,41186,43952,Chuck Grip
40000,37589,39605,39446,39407,39802,40790,46798,Chuck Grip
39446,36680,39367,39209,39012,39249,38893,44031,Chuck Grip
39407,36561,39328,39012,38814,38893,37510,39012,Chuck Grip
39723,37075,39288,39170,39209,38972,37470,36482,Chuck Grip
40118,38656,39130,39249,39446,39288,38340,39525,Chuck Grip
40316,40514,39209,39446,39802,39763,39170,41897,Chuck Grip
39881,40474,39407,39960,40395,40237,39644,40553,Chuck Grip
39288,39012,39644,40237,40711,40474,40039,39051,Chuck Grip
38695,39130,39802,40356,40672,40435,40276,37352,Chuck Grip
38616,41067,39921,40276,40395,40316,40356,35731,Chuck Grip
39288,41502,40197,40118,40237,40158,40276,36008,Chuck Grip
39881,40711,40276,40039,40000,40000,40237,37826,Chuck Grip
40474,40553,40276,39921,39881,39921,40237,43834,Chuck Grip
40948,41225,40474,39763,39960,39921,40435,49763,Chuck Grip
41027,42688,40593,39881,39921,39921,40356,51779,Chuck Grip
41107,42727,40593,40118,40197,40039,40276,51028,Chuck Grip
41660,41778,40514,40316,40474,40276,40395,48261,Chuck Grip
41858,40553,40237,40079,40356,40237,40514,45494,Chuck Grip
41344,39446,39921,39723,40237,39921,40276,40474,Chuck Grip
40474,38735,39684,39644,40435,39960,39802,33834,Chuck Grip
39565,38182,39723,39802,40474,40000,39170,28142,Chuck Grip
38854,37905,39723,39763,39763,39881,38893,27549,Chuck Grip
38300,37944,39605,39684,39288,39684,38893,30118,Chuck Grip
