rawDataOut1,rawDataOut2,rawDataOut3,rawDataOut4,rawDataOut5,rawDataOut6,rawDataOut7,rawDataOut8,Action
41344,37114,39328,39446,39881,41027,39249,40039,Fine Pinch
39644,40514,39802,39684,39723,39802,39684,39723,Fine Pinch
39565,40079,40000,39921,40197,40079,39723,39842,Fine Pinch
39644,39644,40039,40158,40593,40435,39763,39802,Fine Pinch
39921,39684,40039,40079,40356,40316,39763,39881,Fine Pinch
40118,39960,40000,39723,39723,39921,39802,39960,Fine Pinch
40000,40118,39842,39486,39525,39763,39763,39921,Fine Pinch
39684,40079,39684,39684,39842,39842,39723,39802,Fine Pinch
39446,40079,39763,39842,39881,39763,39644,39763,Fine Pinch
39525,39921,39921,39881,39960,39921,39763,39881,Fine Pinch
39723,39605,40039,39960,40039,40118,39921,40118,Fine Pinch
39842,39367,39960,39802,39802,39881,39802,40118,Fine Pinch
39565,39446,39763,39644,39644,39446,39644,39842,Fine Pinch
39288,39407,39565,39565,39565,39367,39486,39565,Fine Pinch
39091,39051,39486,39605,39605,39328,39367,39367,Fine Pinch
39091,39525,39644,39565,39565,39209,39288,39288,Fine Pinch
39328,40435,39842,39644,39605,39288,39328,39407,Fine Pinch
39723,41344,40118,39802,39921,39486,39446,39525,Fine Pinch
39960,41660,40197,39881,40000,39723,39644,39763,Fine Pinch
40039,41620,40237,40079,40197,40197,39960,40197,Fine Pinch
40118,41502,40158,39960,40079,40197,40000,40197,Fine Pinch
40118,41265,40158,39644,39684,39960,39921,39960,Fine Pinch
39842,40514,40237,39525,39565,40039,39921,39960,Fine Pinch
39684,38814,40237,39644,39802,40000,39644,39960,Fine Pinch
39723,37984,40237,39881,40000,39881,39565,39921,Fine Pinch
39802,38300,40118,39802,39723,39605,39565,39842,Fine Pinch
39842,39130,39842,39881,39684,39605,39605,39881,Fine Pinch
39881,39051,39644,39881,39842,39881,39723,39881,Fine Pinch
39763,37628,39605,39684,39802,39842,39684,39842,Fine Pinch
39367,37707,39605,39605,39763,39723,39644,39802,Fine Pinch
39249,39209,39960,39644,40039,39842,39565,39763,Fine Pinch
39525,39684,39881,39684,40118,39881,39605,39684,Fine Pinch
39684,39170,39605,39842,40158,40000,39723,39723,Fine Pinch
39723,38221,39446,39960,40039,39881,39723,39723,Fine Pinch
39644,38933,39486,39802,39763,39644,39723,39763,Fine Pinch
39288,41778,39684,39684,39288,39367,39684,39763,Fine Pinch
38379,42846,39723,39802,39407,39525,39723,39684,Fine Pinch
38419,42253,39763,39763,39802,39644,39842,39802,Fine Pinch
39565,41462,39842,39921,40039,39723,39881,40079,Fine Pinch
40395,40711,40000,40039,40237,39921,39842,40158,Fine Pinch
40790,40039,39921,39960,40118,39960,39763,40197,Fine Pinch
40514,39328,39644,39644,39684,39881,39684,40000,Fine Pinch
39684,38656,39328,39446,39407,39723,39525,39763,Fine Pinch
39249,38577,39249,39565,39763,39723,39565,39644,Fine Pinch
39288,39367,39446,39605,39881,39763,39565,39565,Fine Pinch
39565,40039,39960,39723,40118,39881,39605,39684,Fine Pinch
40000,39644,40276,39921,40316,40079,39605,39644,Fine Pinch
40435,38893,40118,39921,40158,40039,39644,39644,Fine Pinch
40672,39446,40079,39802,39921,39802,39644,39723,Fine Pinch
40118,40474,40237,39802,39842,39723,39605,39684,Fine Pinch
39605,40790,40316,39802,39723,39723,39723,40000,Fine Pinch
40237,41186,40751,39881,39644,39802,39921,40435,Fine Pinch
40751,42095,41027,40039,39644,39763,39842,40395,Fine Pinch
40553,41739,41225,39960,39763,39960,39802,40316,Fine Pinch
40158,40514,41502,39960,40000,39960,39763,40158,Fine Pinch
39723,39170,40909,39881,40039,39921,39565,39921,Fine Pinch
39605,38063,39842,39763,40000,39842,39525,39684,Fine Pinch
39684,37826,39012,39723,39684,39605,39525,39565,Fine Pinch
39605,38103,38656,39842,39723,39446,39684,39525,Fine Pinch
39209,38261,38419,40158,40158,39842,39921,39684,Fine Pinch
38300,37905,38300,40118,40474,40118,39842,39763,Fine Pinch
37470,37233,38419,39763,40079,39763,39644,39605,Fine Pinch
37707,37193,38814,39486,39723,39605,39525,39605,Fine Pinch
38933,38340,39209,39486,39407,39644,39486,39565,Fine Pinch
40079,39763,39486,39367,39051,39605,39486,39486,Fine Pinch
41027,41858,39605,39367,38972,39446,39565,39605,Fine Pinch
40909,44150,39684,39367,39249,39525,39723,39842,Fine Pinch
40553,44624,39960,39446,39684,39842,39802,40197,Fine Pinch
40672,43280,40474,39802,40197,40039,39763,40356,Fine Pinch
40751,42371,41383,40237,40474,40158,39723,39565,Fine Pinch
40632,41739,41897,40395,40474,40158,39763,39051,Fine Pinch
40514,40514,41581,40237,40197,40079,39802,39605,Fine Pinch
40039,39486,40948,39921,39881,39881,39684,40079,Fine Pinch
