rawDataOut1,rawDataOut2,rawDataOut3,rawDataOut4,rawDataOut5,rawDataOut6,rawDataOut7,rawDataOut8,Action
41344,40000,40118,40039,39763,41265,40118,39723,Power Grip
40474,42095,40395,39921,40316,38893,39486,39881,Power Grip
39842,41265,40276,40039,40395,38972,39525,40039,Power Grip
38695,39881,39881,39960,40079,39446,39486,39525,Power Grip
38261,38735,39723,39644,39446,39723,39486,39130,Power Grip
38695,37984,39723,39605,39328,40000,39486,39367,Power Grip
39367,37786,39842,39802,39723,40553,39723,39842,Power Grip
39684,37786,40000,40079,40237,40988,39921,40118,Power Grip
39525,37273,39842,40000,40197,40672,39842,40158,Power Grip
39170,36363,39565,39842,40000,40118,39565,39921,Power Grip
39209,36640,39446,39644,39644,39605,39486,39525,Power Grip
39525,38498,39486,39446,39249,39486,39565,39328,Power Grip
39842,39367,39525,39486,39170,39446,39723,39407,Power Grip
40000,39209,39486,39525,39486,39328,39684,39565,Power Grip
40000,39684,39486,39525,39842,39367,39565,39644,Power Grip
39921,40830,39525,39565,39605,39486,39486,39802,Power Grip
39723,39763,39605,39644,38854,39644,39446,39802,Power Grip
39684,40079,39802,39684,39051,39723,39407,39763,Power Grip
39921,42964,40197,39842,40316,40000,39565,39684,Power Grip
40197,44703,40593,39921,40830,40395,39565,39842,Power Grip
40435,43636,40672,39921,40553,40435,39644,40000,Power Grip
40316,41699,40514,40000,40158,40000,39763,40079,Power Grip
40237,40790,40395,40118,40118,39802,39802,40158,Power Grip
40118,40039,40276,39960,39921,39802,39802,40079,Power Grip
39881,39091,40039,39723,39486,39644,39763,39921,Power Grip
39644,38972,39842,39525,39091,39565,39644,39921,Power Grip
39486,39288,39802,39723,39446,39486,39684,40000,Power Grip
39209,38419,39802,39921,39446,38933,39684,39960,Power Grip
39012,37035,39723,40000,39723,39486,39723,39842,Power Grip
38814,36047,39565,39960,40790,40514,39763,39723,Power Grip
38735,35612,39249,39763,40988,40869,39763,39684,Power Grip
38735,36284,38893,39446,40474,40395,39644,39605,Power Grip
39288,38933,39091,39446,39921,40276,39644,39605,Power Grip
40079,41937,39565,39644,39328,40118,39723,39723,Power Grip
40553,42767,39921,39565,39051,39565,39644,39881,Power Grip
40593,42411,39921,39486,38893,38616,39565,39802,Power Grip
40711,41344,39605,39644,39170,38182,39565,39960,Power Grip
40514,39209,39644,39802,39407,38182,39565,39960,Power Grip
40276,38024,39842,39881,39763,39051,39684,40039,Power Grip
40079,38616,40118,40079,39881,40435,39802,39960,Power Grip
39486,39881,40237,39842,39249,40830,39723,39644,Power Grip
38893,40395,40118,39644,39170,40632,39644,39486,Power Grip
38656,40118,39842,39723,40079,40672,39881,39684,Power Grip
38972,40316,39763,39881,41265,40790,40514,39960,Power Grip
39328,40909,39763,39802,41660,40435,40790,40118,Power Grip
39446,42016,39960,39723,40948,40197,40553,40000,Power Grip
39525,42688,40000,39763,39842,39960,39802,39802,Power Grip
39802,41581,39842,39644,39170,39684,39209,39684,Power Grip
39960,39644,39960,39684,39486,39605,38893,39723,Power Grip
40039,37786,40039,39921,39763,39921,38854,39842,Power Grip
40118,37352,40000,39960,39605,40079,38933,39842,Power Grip
40237,38616,39960,39960,39525,40158,38814,39763,Power Grip
40039,39960,39763,39881,39367,40118,39012,39565,Power Grip
39881,40435,39605,39684,39170,39723,39209,39328,Power Grip
39723,40435,39605,39525,39328,39763,39209,39328,Power Grip
39446,40316,39842,39565,39881,39763,39723,39565,Power Grip
39407,40039,40079,39684,39684,39288,40395,39881,Power Grip
39407,39684,40079,39684,39288,38063,40474,39881,Power Grip
39605,39446,39960,39802,39605,37707,40197,39881,Power Grip
39802,38972,39802,39842,40632,38735,40118,40039,Power Grip
39921,38300,39486,39723,41462,39881,39960,40039,Power Grip
39802,37865,39288,39525,41225,40356,39723,39960,Power Grip
39565,37905,39328,39723,40751,40909,39684,39921,Power Grip
39209,39328,39486,39960,40197,41067,39644,39723,Power Grip
38972,40553,39605,40000,39605,40948,39407,39605,Power Grip
39012,40474,39684,40039,39367,40790,39328,39525,Power Grip
39525,40158,39921,40039,39367,40632,39249,39565,Power Grip
40039,40039,40079,39842,39407,40197,39288,39763,Power Grip
40474,40356,40197,39763,39209,39842,39446,39842,Power Grip
40711,40948,40197,39723,39209,39723,39723,39921,Power Grip
40711,41304,40197,39525,39525,39565,40000,40118,Power Grip
40672,41027,40158,39644,40197,39644,40079,40316,Power Grip
40197,40356,40079,39842,40909,39684,39921,40237,Power Grip
39842,39763,39960,39881,41107,39644,39486,39921,Power Grip
39723,39763,39802,39921,40988,39565,39012,39605,Power Grip
39802,40118,39960,39842,40593,39605,39130,39644,Power Grip
39644,40197,40079,39525,39802,39565,39486,39684,Power Grip
39328,39723,39921,39407,38933,39486,39723,39605,Power Grip
38972,39288,39802,39486,38142,39565,39842,39565,Power Grip
39051,39130,39644,39763,38221,39763,39723,39565,Power Grip
39684,39446,39723,39842,39130,39842,39644,39723,Power Grip
40316,39763,40000,39881,39565,39802,39842,40039,Power Grip
40316,39486,40079,40039,39170,39802,39921,40000,Power Grip
40000,39249,40039,39921,39249,39842,39881,39960,Power Grip
39723,39565,40000,39763,40197,39960,39802,40079,Power Grip
39763,40158,39842,39723,40751,40158,39763,40000,Power Grip
39802,40435,39565,39763,40790,40356,39763,39960,Power Grip
38735,40158,39565,39802,40751,40553,39802,39842,Power Grip
37510,39684,39723,39921,40593,40632,39881,39802,Power Grip
38419,39684,39802,40039,40158,40316,39842,39802,Power Grip
39328,39684,39723,39763,39644,39763,39565,39763,Power Grip
39802,39407,39684,39446,39328,39130,39367,39644,Power Grip
40672,39407,39644,39407,39209,38774,39249,39407,Power Grip
41699,40039,39763,39407,39051,38616,39328,39209,Power Grip
42490,40514,39921,39881,39209,39209,39644,39763,Power Grip
41423,40237,39960,40079,39407,39960,39921,40118,Power Grip
39446,40158,39921,39960,39328,40158,39881,40079,Power Grip
38419,39605,39921,39723,38893,40197,39960,39960,Power Grip
38419,38735,40000,39723,39130,40395,40197,40039,Power Grip
38854,39446,40079,39842,39881,40316,40237,40079,Power Grip
39446,40514,40039,39763,40395,39684,40000,40039,Power Grip
39921,40869,40079,39802,41027,39644,39802,40079,Power Grip
40039,40395,39960,39960,41502,39763,39842,40118,Power Grip
39960,39644,39842,40118,41660,39921,40079,40118,Power Grip
39565,39328,39802,40000,41344,40435,40158,39921,Power Grip
39091,39209,39605,39684,40197,40830,39723,39446,Power Grip
38972,39605,39684,39605,39288,40988,39367,39209,Power Grip
39328,40474,40000,39881,39209,40790,39209,39446,Power Grip
39723,40711,40158,39960,39130,40514,38933,39565,Power Grip
