rawDataOut1,rawDataOut2,rawDataOut3,rawDataOut4,rawDataOut5,rawDataOut6,rawDataOut7,rawDataOut8,Action
41225,39012,40039,39802,41739,39881,41265,40039,Thumb Enclosed
39802,40395,39881,39565,39644,40158,39525,39525,Thumb Enclosed
40197,40593,39921,39525,39605,39802,39525,39802,Thumb Enclosed
40593,40553,39842,39644,39723,39644,39723,40079,Thumb Enclosed
40751,40316,39842,39842,39684,39644,39881,40197,Thumb Enclosed
40632,40316,39960,40039,39921,39881,39921,40276,Thumb Enclosed
40356,40435,40039,39960,39960,39684,39684,40079,Thumb Enclosed
39960,40435,40276,39842,40000,39644,39565,39881,Thumb Enclosed
39249,39921,40237,39842,40079,39684,39644,39842,Thumb Enclosed
38893,39565,40197,39723,39960,39565,39644,39684,Thumb Enclosed
38577,39091,40237,39763,39723,39486,39723,39605,Thumb Enclosed
38498,38774,40197,39802,39881,39684,39802,39565,Thumb Enclosed
38933,39209,40000,39921,40039,40039,39723,39644,Thumb Enclosed
39130,39565,40000,39881,40079,40197,39446,39605,Thumb Enclosed
38616,39328,40237,39763,39881,39881,39288,39407,Thumb Enclosed
38735,39842,40435,39684,39723,39525,39446,39367,Thumb Enclosed
39328,40039,40000,39605,39644,39525,39486,39486,Thumb Enclosed
40237,40079,39288,39486,39644,39842,39605,39644,Thumb Enclosed
40988,40276,38972,39565,39565,39921,39763,39763,Thumb Enclosed
41186,40435,39170,39723,39644,39763,39921,40000,Thumb Enclosed
40869,40514,39565,40000,40158,39763,39881,40237,Thumb Enclosed
40039,40553,39842,40237,40395,39723,39802,40158,Thumb Enclosed
39605,40356,39367,40079,40197,39486,39684,40079,Thumb Enclosed
39565,39881,38695,39723,39763,39367,39723,39960,Thumb Enclosed
39605,39486,38735,39684,39802,39486,39842,40079,Thumb Enclosed
40039,39684,39525,39802,40000,39842,39842,40158,Thumb Enclosed
40474,40356,40474,39723,39960,40118,39763,40158,Thumb Enclosed
40435,40553,41027,39842,40000,40316,39842,40158,Thumb Enclosed
40197,40395,41027,40000,40079,40435,39802,40039,Thumb Enclosed
39960,39921,40632,39842,39842,40276,39763,39802,Thumb Enclosed
39367,39051,40237,39644,39644,40079,39605,39605,Thumb Enclosed
38300,38182,40000,39605,39407,39763,39525,39367,Thumb Enclosed
37668,38182,39802,39486,39170,39525,39407,39288,Thumb Enclosed
37628,38735,39644,39407,39209,39407,39249,39288,Thumb Enclosed
39130,40000,39723,39605,39605,39605,39486,39288,Thumb Enclosed
41383,41186,40079,40079,40079,39881,39684,39486,Thumb Enclosed
42450,41462,40158,40276,40276,40039,39921,40000,Thumb Enclosed
41620,40948,40039,40118,40316,39960,39960,40395,Thumb Enclosed
40000,40039,39842,39763,39842,39684,39842,40118,Thumb Enclosed
38498,39407,39446,39407,39407,39525,39605,39605,Thumb Enclosed
38379,39486,39249,39486,39525,39565,39525,39605,Thumb Enclosed
39091,39644,39328,39802,40000,39842,39525,39881,Thumb Enclosed
39446,39525,39328,39802,40079,39802,39565,40000,Thumb Enclosed
39249,39012,39288,39605,39723,39644,39605,40158,Thumb Enclosed
39288,38340,39170,39565,39605,39723,39644,40435,Thumb Enclosed
39763,38695,39367,39565,39407,39565,39565,40158,Thumb Enclosed
39684,39723,39644,39565,39367,39565,39407,38972,Thumb Enclosed
39209,40593,39881,39723,39723,39763,39525,38261,Thumb Enclosed
39960,40593,40000,39802,39960,39723,39802,38893,Thumb Enclosed
40711,40237,40039,39842,40118,39723,39881,39684,Thumb Enclosed
40632,40237,40118,39921,40158,40000,39881,40237,Thumb Enclosed
40118,40237,40158,40000,40237,40197,39921,40553,Thumb Enclosed
39763,40118,40197,39960,40000,40158,39881,40474,Thumb Enclosed
39644,40079,40197,39684,39802,40039,39802,40197,Thumb Enclosed
39644,39921,40118,39565,39644,40118,39723,40000,Thumb Enclosed
39605,39802,40000,39525,39763,40316,39763,39921,Thumb Enclosed
39881,39881,39960,39684,40079,40632,39684,39881,Thumb Enclosed
40237,40079,39960,39881,40237,40711,39605,39842,Thumb Enclosed
40474,40118,39763,39723,40039,40632,39605,39842,Thumb Enclosed
40672,40079,39842,39763,39763,39842,39723,39921,Thumb Enclosed
40632,40435,39921,39842,39763,38854,39723,39842,Thumb Enclosed
40118,40395,39921,40039,39605,38142,39328,39802,Thumb Enclosed
39170,39842,39960,40118,39644,38024,39091,39288,Thumb Enclosed
38854,39842,40079,40118,40039,38814,39407,39288,Thumb Enclosed
39605,40079,40039,40000,40316,39723,39723,39723,Thumb Enclosed
40079,40039,39802,39723,40118,40276,39921,40000,Thumb Enclosed
40039,40158,39644,39565,39881,40553,39921,40079,Thumb Enclosed
40000,40039,39763,39525,39486,40632,39842,39960,Thumb Enclosed
39367,39644,39921,39525,39130,40316,39565,39723,Thumb Enclosed
38379,38854,39802,39486,39130,40000,39486,39723,Thumb Enclosed
38814,38537,39842,39644,39446,39921,39525,39723,Thumb Enclosed
38814,38261,39684,39723,39881,39881,39565,39644,Thumb Enclosed
38103,37470,39407,39605,40079,39802,39486,39367,Thumb Enclosed
38933,38261,39288,39644,40316,39723,39565,39486,Thumb Enclosed
40158,40514,39723,39684,40079,39684,39802,39921,Thumb Enclosed
40276,41858,40079,39684,39763,39723,39842,40237,Thumb Enclosed
39763,41739,40237,39842,39842,39881,39763,40197,Thumb Enclosed
40237,41304,40158,40158,40079,40000,39684,40079,Thumb Enclosed
40988,40909,40000,40276,40672,39842,39763,40039,Thumb Enclosed
40909,40435,39723,39960,40790,39605,39644,39921,Thumb Enclosed
40316,40000,39763,39842,40316,39565,39012,39881,Thumb Enclosed
39842,39763,39921,39763,39525,39486,38774,39881,Thumb Enclosed
40079,39723,40039,39644,38893,39407,39407,39960,Thumb Enclosed
40158,39525,40079,39684,39051,39565,40000,40079,Thumb Enclosed
39802,39446,39960,39763,39407,39684,40039,39921,Thumb Enclosed
39288,39525,39881,39802,40000,39842,39921,39644,Thumb Enclosed
38774,39407,39763,39802,40751,40158,40000,39605,Thumb Enclosed
38933,39407,39723,39723,40276,40316,40158,39644,Thumb Enclosed
39249,39605,39763,39644,38933,40197,40711,39842,Thumb Enclosed
39328,39486,39802,39565,38142,39763,40869,39881,Thumb Enclosed
39288,39249,39723,39525,38063,39012,40474,39802,Thumb Enclosed
39525,39486,39684,39486,38656,38103,40118,40000,Thumb Enclosed
39960,40039,40000,39644,39881,37944,39763,40197,Thumb Enclosed
39684,40000,40158,39881,40988,39012,39288,40158,Thumb Enclosed
39367,39881,40632,39960,41225,40474,39012,40079,Thumb Enclosed
39605,40237,42134,39842,40751,41423,38972,39960,Thumb Enclosed
39209,40395,42529,39684,40237,41778,39249,39802,Thumb Enclosed
38656,40553,41344,39605,40118,41581,39328,39367,Thumb Enclosed
38577,40237,39565,39486,40474,40632,38972,38933,Thumb Enclosed
38537,38854,38024,39486,41383,40356,39170,39012,Thumb Enclosed
39407,38498,37273,39723,41778,40593,39802,39525,Thumb Enclosed
40988,39605,37549,40000,41502,40751,40237,40079,Thumb Enclosed
41660,40790,38300,40118,40830,40593,39960,40118,Thumb Enclosed
41383,41067,38972,40276,40158,40316,40039,40118,Thumb Enclosed
40830,40514,39249,40118,39091,40000,40237,40276,Thumb Enclosed
40514,39763,39328,39723,38103,39486,40039,40316,Thumb Enclosed
40118,39012,39407,39525,37391,38774,39960,40276,Thumb Enclosed
39446,38616,39881,39446,36561,38537,39881,40000,Thumb Enclosed
39012,39130,40790,39446,36126,38577,40118,39842,Thumb Enclosed
38774,39684,41462,39486,37549,38893,40197,39763,Thumb Enclosed
38656,40197,41383,39565,39842,39209,39763,39565,Thumb Enclosed
38221,40435,40988,39486,41186,39130,39288,39328,Thumb Enclosed
38419,40276,40395,39684,41462,39130,39209,39367,Thumb Enclosed
39605,40237,39881,39921,41423,39249,39328,39644,Thumb Enclosed
40593,40395,39763,40000,41265,39446,39486,39881,Thumb Enclosed
40948,40237,39605,39802,40790,39881,39565,39921,Thumb Enclosed
40672,39921,39367,39605,40316,40276,39684,39960,Thumb Enclosed
40276,39684,39328,39644,40039,40751,39842,40000,Thumb Enclosed
39960,39684,39170,39605,39565,40672,39367,40079,Thumb Enclosed
39921,39565,39130,39525,39802,40316,38735,39921,Thumb Enclosed
