rawDataOut1,rawDataOut2,rawDataOut3,rawDataOut4,rawDataOut5,rawDataOut6,rawDataOut7,rawDataOut8,Action
41304,39802,38893,39565,39565,40039,39486,39012,Tool Grip
39565,40356,40197,39960,39684,41146,39486,39644,Tool Grip
39446,39170,40237,39723,38893,40474,39407,39525,Tool Grip
39525,38458,40158,39644,38695,39881,39407,39684,Tool Grip
39605,38498,40118,39763,39328,39525,39525,39960,Tool Grip
39525,38537,40039,39921,40118,39328,39644,40197,Tool Grip
39288,38695,39842,39842,40316,39012,39644,39960,Tool Grip
39091,38854,39763,39684,40395,38972,39644,39763,Tool Grip
39249,39170,39684,39644,40711,38972,39644,39763,Tool Grip
39605,39565,39605,39644,41027,38972,39802,39644,Tool Grip
39802,39802,39525,39723,40988,39684,39881,39644,Tool Grip
39763,40039,39486,39763,40474,39881,39802,39565,Tool Grip
39802,40316,39486,39842,39881,40000,39763,39723,Tool Grip
39921,40276,39605,39842,39486,40514,39881,39921,Tool Grip
39960,40158,39605,39842,39288,41027,40039,40000,Tool Grip
39842,40237,39684,39802,39130,40711,40118,39921,Tool Grip
39881,40316,39723,39881,39209,39881,39842,39921,Tool Grip
39842,40079,39763,39842,39525,39525,39921,40000,Tool Grip
39763,39565,39842,39960,39644,39328,39921,39921,Tool Grip
39802,38933,39921,40079,39881,40158,39881,39921,Tool Grip
39921,38577,39960,40395,40514,41739,40000,40039,Tool Grip
39881,38419,40079,40316,40751,42253,39960,40039,Tool Grip
39763,38774,40039,39881,40356,42213,39763,39763,Tool Grip
39881,39407,39960,39446,39684,42095,39565,39644,Tool Grip
39802,39802,39802,39367,39446,39684,39051,39525,Tool Grip
39644,40158,39684,39328,39486,37589,39170,39605,Tool Grip
39723,40672,39802,39486,39565,37431,39486,39763,Tool Grip
39960,40988,39960,39802,39960,38814,39842,40118,Tool Grip
40118,41225,40079,40000,40356,40711,40474,40395,Tool Grip
40000,40988,40039,40118,40356,40514,40356,40276,Tool Grip
39605,40474,39881,40000,39842,39881,39921,40039,Tool Grip
39091,39921,39684,39842,39565,39842,39684,39723,Tool Grip
38537,39486,39565,39605,39525,40316,39644,39407,Tool Grip
38814,39921,39486,39486,39644,40869,39644,39407,Tool Grip
39525,40593,39605,39486,39763,39328,39130,39446,Tool Grip
39921,40316,39802,39644,40039,37312,38458,39407,Tool Grip
40079,39525,39763,39802,40435,37114,38695,39525,Tool Grip
40079,38972,39723,39881,40197,38379,39446,39842,Tool Grip
40039,39051,39842,39723,39644,40197,40079,39960,Tool Grip
40039,39328,39921,39684,39328,41462,40356,40039,Tool Grip
40079,39684,40079,39802,39684,41897,40435,40158,Tool Grip
40079,39881,40158,40039,40039,43083,40830,40316,Tool Grip
39921,39960,40039,39960,40039,44308,41225,40237,Tool Grip
39763,39763,39921,39960,40039,45336,41383,40158,Tool Grip
39565,39684,39763,39881,40000,45771,41423,40000,Tool Grip
39407,39802,39723,39802,39842,45020,41027,39802,Tool Grip
39328,39960,39763,39842,39881,43952,40830,39763,Tool Grip
39367,40237,39644,39763,39763,40711,39644,39684,Tool Grip
39407,40237,39486,39525,39446,35375,37589,39328,Tool Grip
39525,40395,39446,39407,39091,31976,36996,39328,Tool Grip
39684,40553,39565,39407,39012,28379,36047,39328,Tool Grip
39842,40711,39763,39565,39249,27944,36166,39486,Tool Grip
39921,40830,40000,39605,39446,34229,38142,39763,Tool Grip
39921,40711,40079,39684,39644,39170,39407,39921,Tool Grip
39842,40356,39960,39723,39881,41699,40158,39960,Tool Grip
39723,40197,39881,39763,39921,42925,40988,40000,Tool Grip
39723,40276,39763,39802,40079,43320,41304,40197,Tool Grip
39684,40197,39723,39802,40197,43122,40869,40000,Tool Grip
39723,40039,39763,39684,39960,42332,40514,39763,Tool Grip
39763,39802,39921,39644,39723,41265,40197,39644,Tool Grip
39802,39605,39921,39842,40079,40988,40000,39723,Tool Grip
39842,39486,39921,39960,40237,41027,39921,39842,Tool Grip
40118,39525,39842,39960,40039,40790,39842,39960,Tool Grip
40118,39723,39763,40000,40000,40316,39802,40039,Tool Grip
40000,39842,39763,40039,40000,39684,39644,39960,Tool Grip
39921,39842,39763,39960,39881,39051,39446,39881,Tool Grip
39881,39921,39802,39763,39723,38616,39288,39802,Tool Grip
39763,39921,39921,39802,39684,38340,39209,39881,Tool Grip
39486,39723,39842,39763,39644,38379,39130,39763,Tool Grip
39170,39644,39842,39802,39605,38379,39130,39565,Tool Grip
39209,39486,39960,39802,39684,38419,39209,39446,Tool Grip
39367,39367,39921,39723,39723,38616,39249,39486,Tool Grip
39525,39407,39802,39723,39723,38735,39288,39644,Tool Grip
39525,39486,39684,39723,39644,38854,39367,39763,Tool Grip
39605,39684,39644,39525,39486,38814,39446,39802,Tool Grip
39802,39723,39565,39328,39407,38933,39486,39802,Tool Grip
39881,39763,39684,39605,39644,39249,39565,39881,Tool Grip
