rawDataOut1,rawDataOut2,rawDataOut3,rawDataOut4,rawDataOut5,rawDataOut6,rawDataOut7,rawDataOut8,Action
41225,38774,39407,39723,39565,39605,39605,39367,W. Abduction
40276,40474,41265,39723,39446,39486,39723,40079,W. Abduction
40118,39565,40909,39605,39446,39605,39723,40079,W. Abduction
39644,38695,40395,39644,39565,39881,39723,39960,W. Abduction
39367,38735,39525,39684,40039,40276,39723,39921,W. Abduction
39091,39367,38735,39605,40158,40197,39644,39684,W. Abduction
38814,39802,38656,39565,39960,40000,39407,39012,W. Abduction
38854,40039,39170,39644,39881,40039,39288,38735,W. Abduction
39723,40553,39763,39605,39684,39842,39525,39407,W. Abduction
40514,41067,40237,39684,39565,39644,39723,40197,W. Abduction
40593,41383,40514,39763,39723,39565,39842,40514,W. Abduction
40276,41186,40593,39881,39921,39644,39881,40316,W. Abduction
39921,40474,40356,39881,40158,39684,39802,40079,W. Abduction
39446,39881,40000,39881,40118,39763,39644,39802,W. Abduction
39328,39842,39921,39881,39644,39723,39684,39644,W. Abduction
39486,39723,40158,39763,39288,39486,39763,39763,W. Abduction
39486,38735,40276,39565,39170,39367,39565,39644,W. Abduction
39407,37984,39684,39367,39367,39802,39486,39486,W. Abduction
39486,37944,39407,39407,39842,40395,39565,39644,W. Abduction
39723,37233,39763,39763,40711,40514,39684,39881,W. Abduction
40039,37826,40118,40118,41107,40237,39802,40158,W. Abduction
40237,40158,40514,40158,40593,39842,39763,40118,W. Abduction
40118,41818,40435,39763,39921,39605,39644,39921,W. Abduction
39763,42095,39881,39565,39763,39644,39605,39802,W. Abduction
39446,41502,39407,39723,39960,39842,39684,39763,W. Abduction
39446,41027,39130,39723,39763,39960,39763,39723,W. Abduction
39684,40356,38814,39842,39763,40000,39763,39960,W. Abduction
39842,39644,38695,39723,39842,39921,39763,40158,W. Abduction
39881,39367,39170,39644,39723,39763,39644,40118,W. Abduction
39763,39249,39842,39525,39605,39605,39565,39842,W. Abduction
39525,39209,40276,39446,39605,39525,39486,39249,W. Abduction
39525,39130,40593,39684,39525,39486,39525,39249,W. Abduction
39486,38893,40593,39921,39565,39565,39684,39644,W. Abduction
39446,38814,40079,39842,39723,39723,39842,40553,W. Abduction
39565,38933,39644,39763,39881,39921,39842,41304,W. Abduction
