rawDataOut1,rawDataOut2,rawDataOut3,rawDataOut4,rawDataOut5,rawDataOut6,rawDataOut7,rawDataOut8,Action
41265,39921,39921,39605,39407,39802,40039,39209,W. Extension
38419,39842,40118,39525,39763,39684,39486,39605,W. Extension
38695,40079,40435,39525,39486,39525,39486,39367,W. Extension
39012,40356,40276,39723,39644,39723,39446,39288,W. Extension
39091,40711,40869,40395,40316,40039,39525,39170,W. Extension
39209,40474,41225,40474,40395,40039,39565,39170,W. Extension
39525,39525,40000,39960,39842,39684,39565,39486,W. Extension
39881,38103,39130,39802,39565,39565,39565,39763,W. Extension
39802,37668,39802,40079,39644,39684,39644,39921,W. Extension
39723,38616,40276,39763,39605,39525,39644,39763,W. Extension
39842,39407,39130,39367,39605,39565,39605,39802,W. Extension
40237,39802,37944,39367,39842,39802,39644,39842,W. Extension
40079,39921,38379,39486,39921,39881,39644,39684,W. Extension
38024,39763,39249,39446,39842,39802,39565,39209,W. Extension
37352,39960,39881,39525,39802,39723,39644,39249,W. Extension
38854,40316,40118,39525,39565,39684,39605,39842,W. Extension
40514,40672,40118,39486,39407,39644,39802,40237,W. Extension
41502,40988,40276,39605,39644,39842,39921,40711,W. Extension
41778,41067,40197,39802,40118,40118,40039,40672,W. Extension
40593,40711,40000,39960,40316,40197,39921,40197,W. Extension
40000,40079,39842,39921,40276,40158,39644,39684,W. Extension
40000,39605,39921,39842,39842,39921,39605,39486,W. Extension
39407,39407,40039,39802,39446,39763,39684,39684,W. Extension
39486,39525,39565,39802,39565,39802,39723,40118,W. Extension
41225,39446,39446,39684,39881,39763,39605,40000,W. Extension
43004,39407,39802,39802,40158,39842,39565,39802,W. Extension
43043,39644,40237,39881,40000,39802,39565,40039,W. Extension
40553,39525,40435,39960,39881,39881,39605,39881,W. Extension
38498,39367,40276,39842,39684,39684,39605,39407,W. Extension
39170,39407,39684,39605,39446,39644,39605,39446,W. Extension
38735,39605,39446,39565,39525,39644,39644,39565,W. Extension
36205,39684,39051,39565,39842,39723,39605,39565,W. Extension
35059,39842,38774,39684,39921,39802,39684,39802,W. Extension
37391,39842,39170,39763,40079,40000,39763,40118,W. Extension
40158,40276,40553,39960,40395,40118,39802,40435,W. Extension
40988,40830,41620,40039,40356,40197,39723,40237,W. Extension
40790,40909,41502,39921,40039,40079,39644,39842,W. Extension
41027,40276,40356,39684,39723,39842,39565,39446,W. Extension
41739,39881,39605,39565,39407,39486,39486,39170,W. Extension
43004,39605,39130,39684,39565,39565,39486,39486,W. Extension
43004,39605,38458,39842,40118,40039,39763,40197,W. Extension
41107,40197,39605,39842,40395,40197,39842,40316,W. Extension
39328,40395,41778,39842,40158,40118,39802,40237,W. Extension
38735,40118,42095,39723,39446,39723,39802,40118,W. Extension
39288,40000,41107,39644,39525,39723,39644,40356,W. Extension
39644,40751,39446,39644,39802,39763,39605,40316,W. Extension
39288,40790,38379,39605,40000,39842,39644,39960,W. Extension
38063,39802,38182,39605,40197,39921,39565,39565,W. Extension
35771,38616,37865,39605,40316,39842,39525,39051,W. Extension
35850,37865,37075,39644,40158,39763,39525,38774,W. Extension
38854,37668,36917,39605,39723,39723,39644,39130,W. Extension
41462,38893,37865,39486,39407,39605,39802,39960,W. Extension
42569,40869,40830,39723,39367,39644,39881,40474,W. Extension
42411,41462,42846,40039,39605,39763,39842,40435,W. Extension
42174,40593,42529,40197,39921,39881,39644,39842,W. Extension
41067,40039,42174,40276,40237,39960,39565,39130,W. Extension
38972,40039,41462,40395,40316,40039,39644,39130,W. Extension
36363,39170,38656,40000,40118,39921,39723,39605,W. Extension
36917,38221,37312,39288,39486,39644,39644,40000,W. Extension
38972,38498,37944,38972,39130,39525,39644,40435,W. Extension
40316,40000,38933,39051,39367,39763,39684,40593,W. Extension
40316,41344,39684,39288,40000,40118,39684,40316,W. Extension
40118,41620,39209,39367,40000,40079,39684,39881,W. Extension
40276,41344,38814,39605,39921,39802,39605,39763,W. Extension
40711,40593,39209,39881,39881,39763,39525,39644,W. Extension
41067,39763,40118,40000,39802,39684,39605,39763,W. Extension
40632,39486,41225,40197,39802,39763,39763,39881,W. Extension
40000,39328,43083,40316,39921,39881,39723,39763,W. Extension
39249,38814,42964,40079,39960,39921,39684,39644,W. Extension
38695,38656,40553,39842,40158,40000,39763,39684,W. Extension
38537,39525,40000,39921,40237,39960,39763,39763,W. Extension
37905,40158,39130,39644,40118,39842,39684,39644,W. Extension
38340,40158,38577,39881,39881,39802,39723,39644,W. Extension
39565,39802,37747,40356,40000,40000,39684,39960,W. Extension
39644,39644,36245,40039,39921,39921,39723,39960,W. Extension
