rawDataOut1,rawDataOut2,rawDataOut3,rawDataOut4,rawDataOut5,rawDataOut6,rawDataOut7,rawDataOut8,Action
41225,39921,39842,39881,40000,39960,39644,39921,W. Supination
40948,39921,39763,40039,39960,39921,39605,40039,W. Supination
40514,39921,39723,39723,39407,39605,39565,39921,W. Supination
40237,39802,39842,39565,39170,39486,39565,39842,W. Supination
40039,39921,39960,39605,39012,39446,39684,39960,W. Supination
39763,39802,39802,39328,38972,39446,39684,39881,W. Supination
39921,39763,39605,39170,39012,39407,39605,39723,W. Supination
39565,39763,39525,39367,39407,39565,39605,39644,W. Supination
38340,39723,39605,39723,39763,39763,39644,39328,W. Supination
38300,39763,39723,40039,40316,40000,39644,39130,W. Supination
39328,39763,39723,40079,40276,39960,39605,39446,W. Supination
40000,39960,39921,39802,39644,39763,39605,39881,W. Supination
40514,40593,40593,39802,39091,39644,39802,40276,W. Supination
41383,41383,40948,39960,38854,39763,39960,40790,W. Supination
41383,40632,40079,39842,39644,40039,39960,40553,W. Supination
39051,37786,38300,39288,40632,40000,39525,39328,W. Supination
37273,37431,38024,39328,40988,39802,39209,38419,W. Supination
37470,38458,39012,39842,40869,39684,39367,38616,W. Supination
38735,39842,40435,40514,40790,39842,39763,39525,W. Supination
40356,41225,41541,40790,40514,40118,40079,40593,W. Supination
41225,41739,41541,40553,40079,40158,40079,40988,W. Supination
40237,40276,39960,39684,39288,39723,39723,40474,W. Supination
39209,38695,38340,38933,38814,39288,39288,39367,W. Supination
39012,38735,38340,39130,39209,39446,39446,38656,W. Supination
38893,39407,39170,39605,39921,39960,39802,39012,W. Supination
39328,39763,39921,40039,40276,39921,39802,39525,W. Supination
40790,39802,40237,40395,40356,40000,39723,39960,W. Supination
41146,39960,40237,40316,40276,40039,39684,40118,W. Supination
40474,40276,40356,40039,40039,39960,39723,40158,W. Supination
40039,40395,40435,39921,39960,39921,39763,40316,W. Supination
39802,40316,40237,39763,39802,39921,39723,40514,W. Supination
39802,40197,40158,39605,39328,39723,39605,40395,W. Supination
40118,40316,40276,39446,38854,39486,39605,40118,W. Supination
39921,40237,40237,39802,39249,39684,39684,39802,W. Supination
38024,39842,39644,39960,39881,39802,39644,39209,W. Supination
37273,39605,39288,39881,40079,39921,39605,39209,W. Supination
39881,40158,39446,39881,39960,39921,39763,39842,W. Supination
42134,40435,39723,39723,39842,39763,39763,40356,W. Supination
41225,39723,39565,39328,39525,39407,39446,40000,W. Supination
39486,38814,39328,39012,39328,39249,39288,39170,W. Supination
39209,39051,39723,39367,39723,39525,39525,38814,W. Supination
38340,40079,40711,39921,40079,39960,39802,39525,W. Supination
39091,40948,41225,40435,40237,40237,40000,40514,W. Supination
41541,41897,41225,40553,40000,40158,40079,41265,W. Supination
42925,41660,40751,40395,39486,39881,39921,41423,W. Supination
40869,38695,38933,39565,39367,39644,39446,40079,W. Supination
37589,36877,37193,38695,39407,39328,39012,38103,W. Supination
36008,37668,37668,38695,39446,39249,38972,37352,W. Supination
37154,38774,39407,39921,40395,39881,39565,38379,W. Supination
39051,39881,40711,40948,41304,40553,40079,39763,W. Supination
39921,40672,40909,41146,41423,40672,40118,40553,W. Supination
40514,40672,40118,40316,40356,40237,39960,40593,W. Supination
40988,40197,39407,39605,39525,39802,39763,40356,W. Supination
40474,39446,39170,39486,39288,39486,39525,40000,W. Supination
39881,39209,39525,39367,39091,39209,39328,39763,W. Supination
39723,39605,39960,39367,39051,39407,39486,39802,W. Supination
39684,40039,40197,39605,39170,39605,39723,39842,W. Supination
39763,40316,40237,39684,38972,39605,39842,39921,W. Supination
40039,40474,39921,39407,38419,39446,39684,40000,W. Supination
40356,40276,39249,39051,38498,39328,39565,40000,W. Supination
39249,39446,38695,38893,39249,39486,39407,39367,W. Supination
38221,39249,39051,39407,40474,39921,39605,38972,W. Supination
38854,39605,40079,40395,41304,40276,39842,39446,W. Supination
39367,39644,40514,40948,41541,40474,40039,40079,W. Supination
39644,39605,40474,40948,41344,40435,39960,40435,W. Supination
39684,39723,40237,40869,41107,40356,39842,40356,W. Supination
39802,39842,39921,40435,40514,40079,39684,39763,W. Supination
39921,40000,39684,39802,39605,39723,39565,39209,W. Supination
40356,40711,40079,39486,38972,39565,39644,39565,W. Supination
41027,40909,40276,39367,38695,39446,39802,40356,W. Supination
40553,39842,39605,38933,38537,39446,39644,40316,W. Supination
39644,38577,38854,38972,38695,39407,39486,39960,W. Supination
39644,38893,39012,39367,39209,39446,39407,39723,W. Supination
39525,39367,39209,39723,39921,39684,39486,39486,W. Supination
38537,38774,39012,39842,40395,39881,39644,39170,W. Supination
37470,39091,39407,40276,40909,40000,39723,39012,W. Supination
38577,40356,40316,40711,41067,40158,39802,39328,W. Supination
40158,40751,40435,40474,40593,39960,39881,40079,W. Supination
40356,40000,39881,40000,40039,39842,39881,40276,W. Supination
39802,39367,39763,39605,39723,39842,39763,40000,W. Supination
39763,39723,40276,39723,39802,40000,39802,40000,W. Supination
40118,40039,40435,40039,40000,40079,39842,40197,W. Supination
40593,39881,40000,40039,40276,40118,39802,40118,W. Supination
41107,39881,39486,39684,39802,39763,39684,40000,W. Supination
41304,40237,39723,39486,39209,39407,39525,40000,W. Supination
40474,40276,40079,39644,39051,39446,39644,40039,W. Supination
39486,39644,39842,39802,39644,39763,39802,39842,W. Supination
39407,39723,39723,39802,39881,39802,39644,39605,W. Supination
39446,40276,39881,39565,39525,39525,39605,39486,W. Supination
39209,40237,40039,39605,39446,39644,39684,39525,W. Supination
39249,39881,40158,39842,39723,39802,39723,39644,W. Supination
39367,39605,40039,39881,40000,39921,39763,39723,W. Supination
39328,39565,39842,39921,40158,39881,39763,39881,W. Supination
39407,39684,39723,39921,40079,39921,39723,39842,W. Supination
39644,40000,39921,39960,40000,39921,39644,39881,W. Supination
40000,40356,40118,40118,39763,39921,39723,39960,W. Supination
40356,40514,40316,39960,39249,39723,39723,40079,W. Supination
40711,40514,40197,39486,38616,39486,39644,40197,W. Supination
41462,40869,40000,39288,38498,39446,39723,40316,W. Supination
40869,40158,39644,39249,39249,39525,39644,40158,W. Supination
38577,38419,39130,39288,40276,39802,39525,39209,W. Supination
36996,37114,38379,39802,41541,40276,39446,38261,W. Supination
37470,37470,38498,40395,42016,40553,39684,38695,W. Supination
39288,39407,39842,40672,41699,40514,40039,39842,W. Supination
40672,40909,40869,40435,40553,40000,39960,40356,W. Supination
41067,41344,40909,40158,39842,39684,39802,40435,W. Supination
40830,41146,40395,39842,39367,39605,39644,40316,W. Supination
40118,40435,39842,39644,39012,39486,39565,39921,W. Supination
39881,40395,40079,39842,39130,39684,39842,39960,W. Supination
41502,41502,41225,40395,39565,40158,40118,40869,W. Supination
43636,42253,41620,40316,39328,40079,40079,41620,W. Supination
43280,40751,40118,39328,38735,39605,39802,41304,W. Supination
37786,36680,37628,37984,38221,39051,39091,38814,W. Supination
34506,36245,36522,37747,38142,38577,38419,36561,W. Supination
36324,38458,37549,38300,38182,38419,38616,36956,W. Supination
37668,39486,39565,39684,39881,39525,39763,38814,W. Supination
38972,40197,41186,41225,42095,40909,40474,40276,W. Supination
40474,40751,41502,41818,42688,41225,40514,40948,W. Supination
41186,40672,41067,41423,42016,40948,40197,40909,W. Supination
41027,40276,40395,40553,40553,40237,39763,40395,W. Supination
40276,39763,39802,39763,39407,39525,39486,39921,W. Supination
39960,39684,39644,39407,39170,39446,39565,39881,W. Supination
40039,39921,39644,39446,39446,39684,39684,39960,W. Supination
40000,39960,39605,39605,39486,39802,39723,39802,W. Supination
39881,39842,39684,39525,39407,39684,39684,39763,W. Supination
39763,39842,39802,39605,39486,39644,39644,39802,W. Supination
39723,39960,39881,39605,39367,39605,39684,39802,W. Supination
39723,40118,39921,39644,39249,39605,39644,39802,W. Supination
39881,40158,39921,39644,39367,39684,39684,39881,W. Supination
39960,40158,40000,39605,39288,39565,39684,39921,W. Supination
40158,40118,40079,39605,39130,39565,39723,40197,W. Supination
39842,39881,39921,39723,39249,39684,39644,40079,W. Supination
39446,39288,39130,39565,39525,39723,39525,39684,W. Supination
39170,39130,39012,39525,40079,39921,39525,39446,W. Supination
38577,38735,38893,39763,40909,40118,39565,39012,W. Supination
37944,38340,39170,40276,41581,40356,39644,38854,W. Supination
