rawDataOut1,rawDataOut2,rawDataOut3,rawDataOut4,rawDataOut5,rawDataOut6,rawDataOut7,rawDataOut8,Action
41265,40316,39763,39723,39921,40632,39723,39684,Fine Pinch
39842,39565,40632,39842,39763,39881,39644,39763,Fine Pinch
39249,39723,40672,39921,39486,39802,39644,39565,Fine Pinch
39012,39842,40276,39921,39565,39763,39605,39486,Fine Pinch
38814,39684,39842,40039,39763,39644,39605,39644,Fine Pinch
38933,39446,39328,39921,40000,39763,39565,39763,Fine Pinch
39407,39249,38933,39881,40158,39842,39605,39723,Fine Pinch
39605,39288,38616,39763,40197,39802,39644,39644,Fine Pinch
39486,39565,38893,39802,40118,39881,39723,39723,Fine Pinch
39328,39684,39328,39802,39842,39842,39723,39842,Fine Pinch
39881,39881,39684,39763,39802,39881,39763,39960,Fine Pinch
40751,40039,40000,39684,39763,39802,39802,40079,Fine Pinch
40909,40158,40039,39605,39763,39842,39763,40118,Fine Pinch
40790,40197,39842,39723,40158,40000,39684,40158,Fine Pinch
40435,40118,40039,39921,40356,40079,39684,40237,Fine Pinch
39802,40118,40790,39960,40039,39921,39802,40039,Fine Pinch
39209,40237,41067,39644,39446,39644,39802,39723,Fine Pinch
39012,40514,41067,39525,39486,39684,39684,39842,Fine Pinch
39051,40514,41225,39525,39802,39802,39605,39842,Fine Pinch
39012,40553,41541,39644,40000,40079,39605,39763,Fine Pinch
39170,40514,41027,39881,40316,40276,39605,39723,Fine Pinch
39644,40316,40079,39921,40356,40197,39644,39605,Fine Pinch
40316,40435,39605,39605,40079,40118,39684,39763,Fine Pinch
40790,40356,39209,39763,40039,40079,39842,40079,Fine Pinch
40751,40079,38735,39921,39881,39921,39842,40118,Fine Pinch
40553,39723,38221,39921,39763,39763,39842,40039,Fine Pinch
40237,39170,37707,39763,39605,39644,39723,39881,Fine Pinch
39644,38537,37668,39802,39684,39723,39723,39763,Fine Pinch
39012,38300,38340,39921,39842,39881,39644,39644,Fine Pinch
38577,38616,39328,40158,40039,40079,39723,39605,Fine Pinch
39170,39367,40237,40118,40316,40474,39842,39842,Fine Pinch
39170,39921,41067,39723,40000,40197,39763,39763,Fine Pinch
38419,40237,41423,39723,39802,39802,39644,39644,Fine Pinch
39130,40593,41265,40000,39881,39684,39684,39723,Fine Pinch
40197,40553,40316,40039,40079,39684,39644,39921,Fine Pinch
40593,40079,39644,39565,39684,39209,39446,39881,Fine Pinch
40474,39921,39328,39209,38933,38695,39288,39842,Fine Pinch
40356,40079,39525,39170,38379,38340,39288,39921,Fine Pinch
40197,40079,39763,39170,38261,38458,39486,39723,Fine Pinch
40000,39921,40000,39407,38933,39130,39684,39644,Fine Pinch
39684,39763,40237,39802,39921,39921,39644,39446,Fine Pinch
39565,39684,40079,40118,40830,40395,39684,39367,Fine Pinch
39486,39486,39605,40237,41304,40790,39842,39763,Fine Pinch
39605,39407,39130,40118,41383,41027,40000,40197,Fine Pinch
39288,39367,38972,40000,40988,40790,40000,40197,Fine Pinch
38182,39209,39091,39842,40435,40395,39960,40079,Fine Pinch
38103,39249,39130,39802,40435,40395,39960,40000,Fine Pinch
39051,39446,39170,39802,40356,40435,39921,39921,Fine Pinch
39723,39565,39130,39763,40000,40118,39763,39684,Fine Pinch
39605,39842,39367,39802,39684,39486,39565,39446,Fine Pinch
39328,40039,39842,39802,39486,39091,39367,39328,Fine Pinch
39684,40079,40118,39802,39249,38933,39367,39525,Fine Pinch
40395,40079,40158,39684,38854,38972,39525,39763,Fine Pinch
40632,40039,40197,39763,38893,39091,39565,39802,Fine Pinch
40632,39763,40118,39723,38972,39249,39525,39881,Fine Pinch
40711,39407,39842,39565,38577,39288,39486,39921,Fine Pinch
40197,39328,39684,39605,38616,39525,39486,39881,Fine Pinch
39605,39565,39723,39723,39605,39842,39525,39881,Fine Pinch
39763,39960,39960,39644,40553,40039,39644,39881,Fine Pinch
39960,40039,40000,39684,40909,40039,39802,39842,Fine Pinch
39644,39842,39960,39684,40751,39960,39763,39881,Fine Pinch
39684,39960,40039,39723,40435,40039,39802,40000,Fine Pinch
39842,40000,40118,39802,40197,40039,39802,40118,Fine Pinch
39723,40039,39921,39763,40118,40079,39842,40039,Fine Pinch
39644,40197,39723,39763,40079,40158,39763,40000,Fine Pinch
39446,40395,39960,39802,40000,40079,39763,39723,Fine Pinch
39328,40514,40276,39842,39960,39802,39644,39565,Fine Pinch
39565,40276,40356,39684,39565,39328,39565,39605,Fine Pinch
39842,39684,40237,39525,39288,39367,39644,39723,Fine Pinch
39921,39288,39881,39644,39565,39763,39723,39802,Fine Pinch
39802,39486,39802,39921,40000,40237,39684,39881,Fine Pinch
39802,39802,40039,40079,39881,40316,39763,39842,Fine Pinch
39802,39684,39960,39842,39446,40000,39684,39723,Fine Pinch
