rawDataOut1,rawDataOut2,rawDataOut3,rawDataOut4,rawDataOut5,rawDataOut6,rawDataOut7,rawDataOut8,Action
41304,39842,39763,39723,39802,39881,39407,39684,H. Open
39170,38379,39446,39802,40079,39763,39328,37747,H. Open
40158,39644,39763,39921,39921,39644,41620,38142,H. Open
40593,40356,39881,39723,39486,39486,42292,39723,H. Open
40593,40553,40079,39763,39525,39565,41858,40790,H. Open
40276,40237,40395,39842,39723,39525,40948,40948,H. Open
39842,39842,40316,39723,39763,39446,40079,40632,H. Open
40000,40000,40197,39723,39881,39684,39565,40395,H. Open
40316,40474,40118,39842,40039,40000,39367,40276,H. Open
40356,40474,40039,39960,40118,39881,39249,39921,H. Open
40158,40316,40118,39960,40197,40158,39249,39723,H. Open
39921,40395,40474,39881,40197,40237,39249,39723,H. Open
39881,40553,40711,39723,39960,39842,39367,39802,H. Open
40000,40672,40593,39605,39802,39367,39486,39881,H. Open
39921,40751,40395,39802,39921,39446,39446,40356,H. Open
39446,40553,40316,39763,39644,39249,39565,40435,H. Open
39051,40276,40118,39644,39288,38933,39763,40118,H. Open
39130,40158,40237,39525,39209,39486,39842,39288,H. Open
39525,40237,40276,39763,39644,40316,39170,38695,H. Open
39921,40276,40316,40039,40316,40474,38695,38893,H. Open
39960,40039,40197,40158,40514,40118,38419,39407,H. Open
40000,39684,39881,40197,40395,39644,38103,40197,H. Open
40830,39644,39842,40118,40237,39407,38458,40751,H. Open
41620,39960,40118,40118,40118,39842,39446,40356,H. Open
41225,40197,40237,39960,39881,40079,40197,39249,H. Open
39881,40197,40000,39644,39684,39960,41107,39249,H. Open
39486,40039,39723,39407,39486,39605,41818,39763,H. Open
39723,40316,39605,39288,39288,39091,41897,40276,H. Open
39525,40909,39763,39486,39525,38221,40751,40514,H. Open
39249,41146,39960,39802,39802,37391,39842,40197,H. Open
39407,41027,40000,39763,39881,36284,38893,39802,H. Open
39525,40909,40000,40000,40118,36917,38300,39881,H. Open
39605,40197,40158,39960,39960,38774,38577,39960,H. Open
39446,39328,40000,39842,39684,40593,38893,40039,H. Open
39170,38498,39684,39842,39723,42371,39486,40118,H. Open
38972,36838,39446,40000,40237,43715,39881,39921,H. Open
39525,36601,39723,39960,40237,43952,40276,39605,H. Open
40079,38577,40197,39723,39881,43043,40356,39446,H. Open
39960,40514,40316,39486,39684,41818,40079,39209,H. Open
39842,41186,40316,39328,39407,41067,39802,39051,H. Open
40000,41383,40276,39407,39328,40593,39842,39486,H. Open
40158,41146,40118,39605,39605,39328,39802,39960,H. Open
40158,40276,39881,39802,39802,37628,40039,40158,H. Open
40039,39565,39684,40000,40237,36442,40553,40474,H. Open
39881,39170,39446,40118,40435,36284,40988,40790,H. Open
39921,39367,39446,40316,40435,37075,41027,40909,H. Open
40118,39763,39763,40118,40000,37747,40237,40395,H. Open
40197,39842,40000,39802,39525,38103,39605,39763,H. Open
39960,39170,39802,39565,39209,38577,39091,39328,H. Open
39723,38379,39367,39486,39051,39328,37668,39091,H. Open
39486,38340,39051,39763,39684,40632,37628,39328,H. Open
39486,38656,39249,40079,40435,41660,38577,39723,H. Open
39723,39051,39763,40000,40316,41858,39684,39960,H. Open
40039,39802,40158,39605,39684,42253,40118,40079,H. Open
39881,40553,40356,39486,39446,43083,39605,39960,H. Open
39486,41383,40237,39684,39881,42727,38419,39684,H. Open
39170,43201,39960,39644,39960,41620,38616,39407,H. Open
39288,44703,39842,39802,40039,39802,40000,39407,H. Open
39328,43439,39921,39921,39960,36996,41107,39486,H. Open
39328,40948,39881,39802,39763,35850,41581,39684,H. Open
39644,39486,40039,39802,39684,37075,41620,40158,H. Open
39921,38537,40118,39842,39605,38300,40948,40948,H. Open
39763,37865,40079,39763,39565,39051,39763,40909,H. Open
39605,38182,40079,39842,39565,40118,38537,39644,H. Open
40197,38972,40118,40039,39763,41541,38340,38695,H. Open
40276,39446,40316,40158,39921,42253,39170,39209,H. Open
40118,39802,40039,40079,39960,41067,40237,39842,H. Open
40079,40474,39446,39960,39921,40118,40514,40118,H. Open
40000,40474,39170,39525,39763,40237,40079,40118,H. Open
40197,40830,39249,39130,39525,39842,39486,40000,H. Open
40237,40869,39328,39328,39763,39763,39130,39842,H. Open
40000,39486,39407,39684,40079,39960,39051,39684,H. Open
40039,38933,39486,39881,39960,39960,39525,39802,H. Open
40276,39446,39486,39802,39605,39723,39051,39802,H. Open
40158,38063,39644,39842,39486,39565,38419,39723,H. Open
39723,36522,39921,39684,39051,40395,38498,39525,H. Open
39249,38103,40039,39723,39209,41146,39763,39605,H. Open
39091,41027,40158,39842,39763,40751,41027,39802,H. Open
39328,42095,40237,39921,40039,39407,41344,39842,H. Open
39170,43122,40079,39921,39921,37707,40553,39802,H. Open
39684,43676,39921,39763,39723,37391,39249,39881,H. Open
39486,43043,39881,39605,39605,38537,37707,39960,H. Open
38458,40988,39921,39684,39684,39960,38577,39763,H. Open
37312,38616,39921,39684,39763,40790,40711,39446,H. Open
37431,38024,40039,39723,39921,40948,41067,39486,H. Open
40118,38933,40197,39802,40197,40356,40395,40039,H. Open
42964,40158,40237,39960,40632,40276,40632,40474,H. Open
42925,40711,39960,40197,41107,40751,40988,40593,H. Open
40751,40395,39842,40197,40830,41304,40435,40079,H. Open
39565,39170,39881,39881,40316,41502,39565,39684,H. Open
39170,37470,39763,39644,39881,40830,39209,39565,H. Open
39130,36680,39367,39525,39605,40039,38735,39605,H. Open
39486,36917,39130,39407,39328,40672,39051,39605,H. Open
39407,38221,39446,39565,39486,40711,39763,39723,H. Open
39367,39644,39802,39763,39288,38656,38814,39842,H. Open
39960,39644,39921,39486,38814,37312,37668,40237,H. Open
39723,37470,39960,39446,38893,37431,38379,40356,H. Open
39486,39684,40000,39446,39249,37628,40553,40118,H. Open
40593,43320,39960,39486,39446,37905,41344,40079,H. Open
40276,43399,40079,39525,39605,38221,41067,39842,H. Open
38933,41976,40158,39644,39921,39407,40711,39407,H. Open
38063,41107,40079,39881,40395,40869,39960,38972,H. Open
38616,41067,40474,40435,41027,42134,39723,38379,H. Open
40593,40672,40593,40869,41344,42806,39525,38221,H. Open
41660,39644,39881,40356,40711,42411,38735,38498,H. Open
39960,38537,39288,39802,39842,41818,38142,39012,H. Open
39288,38182,39012,39684,39605,41146,37786,39960,H. Open
39605,38261,39209,39802,39723,40276,38063,40790,H. Open
39881,38261,39525,39921,39881,38972,39091,40948,H. Open
37747,37944,39644,39565,39407,37075,40276,40395,H. Open
36403,38458,39565,39407,39130,35099,41304,40158,H. Open
38774,40039,39565,39209,39051,34822,41541,40158,H. Open
41383,41304,39565,39170,38893,36126,42095,40197,H. Open
41107,41660,39644,39328,39091,37707,42253,40158,H. Open
40158,41423,39881,39644,39288,39723,41265,40118,H. Open
40948,41502,40356,39960,39842,42134,40158,40039,H. Open
41660,41739,40593,40158,40356,43518,38893,39960,H. Open
41067,41739,40356,40039,40356,43360,39407,39881,H. Open
39921,40948,39842,39842,40000,43083,40118,39802,H. Open
37865,39249,39407,39605,39763,41818,39446,38972,H. Open
36284,36956,39249,39486,39723,40790,38182,37549,H. Open
40395,36877,39723,39881,40316,40790,38854,38854,H. Open
42450,38419,39881,40158,40672,40118,39605,40079,H. Open
40276,39842,39565,40158,40632,38024,37905,39565,H. Open
38933,41027,39605,40039,40197,36759,35691,39525,H. Open
38537,41620,39605,39723,39525,37668,38103,39921,H. Open
38774,40948,39605,39486,39051,37154,40237,40316,H. Open
39012,39921,39525,39684,39249,36798,40514,40237,H. Open
39328,39367,39644,39921,39486,38063,40948,39881,H. Open
