rawDataOut1,rawDataOut2,rawDataOut3,rawDataOut4,rawDataOut5,rawDataOut6,rawDataOut7,rawDataOut8,Action
41304,39170,38656,39723,38379,39249,39881,40079,Thumb Enclosed
38774,38182,39328,39407,40079,39249,39565,39209,Thumb Enclosed
38182,38142,39249,39763,40514,38774,39486,39012,Thumb Enclosed
39051,39288,39605,40079,40711,39407,39644,39367,Thumb Enclosed
40197,40474,40197,40000,40435,40356,39960,40039,Thumb Enclosed
40514,40909,40632,39802,39881,40751,40197,40395,Thumb Enclosed
38814,40356,40553,39960,39921,40672,40197,40158,Thumb Enclosed
37114,39367,40039,40079,39881,40356,39921,39802,Thumb Enclosed
37707,39012,39684,40039,39723,40276,39565,39684,Thumb Enclosed
39209,39051,39565,40118,39842,40632,39367,39763,Thumb Enclosed
39605,39170,39051,39723,39644,40909,39130,39525,Thumb Enclosed
39921,39684,38933,39367,39446,40593,39130,39486,Thumb Enclosed
40553,40237,39209,39209,39367,39802,39249,39723,Thumb Enclosed
41146,40632,39763,39446,39170,39130,39407,39921,Thumb Enclosed
41739,40672,40276,39684,39209,38498,39446,40000,Thumb Enclosed
41541,40435,40435,39802,39407,38419,39565,39881,Thumb Enclosed
40079,40039,40276,39960,39723,38656,39842,39881,Thumb Enclosed
39407,39921,40118,40079,40000,38854,40079,40118,Thumb Enclosed
39446,39842,39802,40000,40237,39130,40118,40158,Thumb Enclosed
39565,39763,39644,39960,40751,39842,40039,40000,Thumb Enclosed
39921,39881,39684,39684,40474,40316,39921,39802,Thumb Enclosed
40079,40237,39802,39565,39842,40435,39881,39684,Thumb Enclosed
39446,40237,40000,39763,39605,40553,39842,39723,Thumb Enclosed
39288,39921,40039,40039,39881,40514,39881,39921,Thumb Enclosed
39565,39842,40158,40000,39921,40039,39684,39960,Thumb Enclosed
39684,39921,40356,39842,39525,39960,39644,39960,Thumb Enclosed
39209,39486,40118,39723,39446,40197,39525,39723,Thumb Enclosed
38419,38577,39684,39486,39249,39644,39328,39367,Thumb Enclosed
37470,37352,39407,39328,39130,38577,38972,39130,Thumb Enclosed
37984,37944,39170,39525,39446,38182,38616,39091,Thumb Enclosed
39486,40000,39446,39644,39842,38656,38774,39091,Thumb Enclosed
40514,40909,39644,39802,40276,39842,39446,39644,Thumb Enclosed
41107,40632,39565,39921,40632,40751,39960,40237,Thumb Enclosed
40514,40039,39328,40039,40751,41107,40118,40395,Thumb Enclosed
39921,39881,39525,40039,40474,41107,40158,40118,Thumb Enclosed
40039,40237,39960,39881,39960,40988,40237,39881,Thumb Enclosed
40237,40514,40276,39763,39723,40514,40356,39921,Thumb Enclosed
40356,40514,40395,39684,39486,40039,40356,39960,Thumb Enclosed
40276,40435,40276,39921,39960,40000,40435,40079,Thumb Enclosed
40079,40237,40000,40000,40316,39723,40435,40158,Thumb Enclosed
39763,39723,39842,39842,40039,39209,40158,40039,Thumb Enclosed
39328,39249,39684,39486,39367,38695,39407,39644,Thumb Enclosed
39565,38735,39605,39446,39170,38616,38814,39525,Thumb Enclosed
40948,39130,39684,39486,39565,38537,38695,39802,Thumb Enclosed
41897,40276,40000,39763,39802,38695,38972,40079,Thumb Enclosed
41541,41107,40158,40000,40118,39407,39249,40197,Thumb Enclosed
40632,41146,40079,40079,40316,40632,39486,40079,Thumb Enclosed
39446,40751,39921,39802,40237,41344,39921,40039,Thumb Enclosed
39249,40593,40039,39763,40079,40988,40197,40000,Thumb Enclosed
39565,40395,40079,39802,39881,40435,40237,39960,Thumb Enclosed
38419,39367,39842,39723,39605,40079,40118,39763,Thumb Enclosed
35415,37944,39446,39565,39170,39921,39881,39209,Thumb Enclosed
33794,37075,38933,39328,39130,39802,39407,38419,Thumb Enclosed
34229,37470,39012,39565,39367,39723,39249,38379,Thumb Enclosed
39288,39842,39723,39960,39881,39842,39565,39407,Thumb Enclosed
44506,41620,40197,40158,40395,40118,40000,40514,Thumb Enclosed
44941,41423,40435,39960,40237,39960,40118,40751,Thumb Enclosed
43004,40751,40988,39644,39842,39644,40039,40514,Thumb Enclosed
40988,40158,40988,39684,39842,39723,40000,40356,Thumb Enclosed
39170,39684,40830,39723,40158,40039,39960,40474,Thumb Enclosed
38498,39605,41186,39763,40118,40158,39802,40197,Thumb Enclosed
39921,40000,40869,39644,39802,40118,39644,39525,Thumb Enclosed
42292,40672,39763,39723,39644,40158,39644,39170,Thumb Enclosed
42609,41067,38656,39723,39486,40000,39684,39565,Thumb Enclosed
40988,40751,38300,39723,39407,39842,39684,39802,Thumb Enclosed
38300,39921,38221,39842,39525,39525,39525,39644,Thumb Enclosed
36956,38972,37984,39881,39723,39328,39565,39565,Thumb Enclosed
36561,37984,37786,39684,39763,39407,39446,39525,Thumb Enclosed
36798,37707,37747,39644,39921,39525,39486,39565,Thumb Enclosed
37233,37984,38498,39763,40039,39842,39446,39644,Thumb Enclosed
38063,38695,39960,39842,40079,39723,39565,39565,Thumb Enclosed
39367,39763,41304,39763,39921,39446,39763,39684,Thumb Enclosed
40632,40948,42174,39684,40039,39486,40039,39960,Thumb Enclosed
41225,41581,42609,39802,40039,39525,39881,40158,Thumb Enclosed
41462,41502,42490,40118,40316,38933,39842,40276,Thumb Enclosed
41581,41383,42253,40276,40514,38577,39802,40356,Thumb Enclosed
41660,41265,42411,40039,40237,39367,39802,40197,Thumb Enclosed
41304,40751,41304,39763,39723,40711,39921,40039,Thumb Enclosed
40711,39960,39367,39446,39486,41541,40079,39921,Thumb Enclosed
39723,39249,37786,39644,39644,41897,40039,39723,Thumb Enclosed
38735,39249,37391,39763,39644,42332,39842,39367,Thumb Enclosed
37905,39249,37628,39881,39763,42450,39407,39130,Thumb Enclosed
36640,38063,37668,39842,39842,41383,39170,38933,Thumb Enclosed
37035,37707,37589,39723,39960,39644,39209,39170,Thumb Enclosed
38261,38419,37668,39605,39881,38063,39209,39605,Thumb Enclosed
39328,38972,38103,39525,39605,37114,38972,39723,Thumb Enclosed
40118,39288,39249,39367,39328,36640,38854,39684,Thumb Enclosed
41027,40039,40830,39565,39328,36798,39051,39802,Thumb Enclosed
41699,41265,41937,39960,39605,37786,39486,40000,Thumb Enclosed
41225,41502,41937,40079,39881,39051,40000,40197,Thumb Enclosed
40632,40632,41344,40158,40039,40118,40356,40237,Thumb Enclosed
40435,40000,40553,40039,40158,40869,40435,40276,Thumb Enclosed
40197,39842,39960,39802,39842,40948,40276,40039,Thumb Enclosed
40000,39763,39644,39565,39446,40751,40118,39881,Thumb Enclosed
40079,39802,39288,39525,39525,40672,39960,39842,Thumb Enclosed
39960,39842,39170,39763,40118,40711,39842,39960,Thumb Enclosed
39525,39802,39288,39960,40356,40751,39763,39881,Thumb Enclosed
39012,39763,39723,39723,39960,40474,39525,39842,Thumb Enclosed
37747,39684,40356,39605,39763,40197,39446,39684,Thumb Enclosed
37826,39644,40276,39565,39525,39881,39288,39407,Thumb Enclosed
40079,39842,40000,39525,39407,39802,39407,39486,Thumb Enclosed
41225,40276,40118,39684,39525,40000,39605,39723,Thumb Enclosed
41383,40593,40039,39921,39723,40276,39842,40000,Thumb Enclosed
41146,40553,39802,40000,39921,40593,39960,40158,Thumb Enclosed
40672,40435,39525,40197,40118,40672,40000,40237,Thumb Enclosed
40000,40276,39407,40276,40316,40435,39842,40237,Thumb Enclosed
39170,39605,39644,40000,40514,40000,39644,39921,Thumb Enclosed
38419,38616,39723,39605,40237,39407,39328,39446,Thumb Enclosed
