rawDataOut1,rawDataOut2,rawDataOut3,rawDataOut4,rawDataOut5,rawDataOut6,rawDataOut7,rawDataOut8,Action
41304,40039,40158,40000,40079,39960,39723,39525,W. Adduction
38537,40000,40118,39921,40197,39802,39763,39644,W. Adduction
39407,39921,40039,40158,40514,39881,39644,39446,W. Adduction
38221,39960,39842,40079,40474,40000,39565,39249,W. Adduction
36403,39486,39644,39802,39960,39842,39328,38774,W. Adduction
38063,39565,39763,39446,39367,39763,39565,39525,W. Adduction
40395,40158,39921,39605,39486,39842,39842,40830,W. Adduction
39802,40158,39921,39881,39842,40079,39881,40553,W. Adduction
39249,39723,39723,39921,39921,40237,39763,39684,W. Adduction
39684,39249,39525,39881,39960,40000,39605,38893,W. Adduction
40948,39130,39407,39723,39881,39644,39446,38419,W. Adduction
42964,39644,39486,39644,39842,39486,39644,39249,W. Adduction
44703,40079,39565,39605,39763,39525,39763,40948,W. Adduction
45731,40079,39605,39565,39684,39565,39644,41423,W. Adduction
39802,40474,39960,39763,39842,39723,39723,40435,W. Adduction
32727,40276,40276,39881,39802,39842,39763,39249,W. Adduction
34229,40039,40435,39921,39921,40079,39842,39249,W. Adduction
38656,40000,40514,40039,40197,40237,39881,39842,W. Adduction
43557,40593,40435,40197,40237,40276,39960,40751,W. Adduction
43557,40237,39960,39921,39842,39881,39684,40830,W. Adduction
39723,39565,39684,39328,39091,39367,39407,40039,W. Adduction
36680,38933,39565,38814,38498,39012,38972,38537,W. Adduction
33162,38221,39328,38854,38854,39012,38933,38024,W. Adduction
35929,39130,39486,39605,39960,39684,39565,38854,W. Adduction
40395,40316,39802,40079,40395,40158,40118,40118,W. Adduction
44229,41027,40000,40158,40316,40237,40237,41225,W. Adduction
43755,40751,39842,40039,39960,40118,39842,40869,W. Adduction
41502,40118,39723,39842,39644,39842,39684,40000,W. Adduction
40356,39881,39921,39842,39763,39881,39763,39328,W. Adduction
40079,39723,39881,39802,39881,39921,39802,39446,W. Adduction
40197,39486,39684,39723,39921,39842,39763,39960,W. Adduction
40197,39288,39605,39684,39921,39881,39684,40158,W. Adduction
40158,39407,39960,39881,40079,39960,39486,39763,W. Adduction
40039,39921,40237,40039,40237,39960,39486,39525,W. Adduction
39763,40118,40356,40000,40118,39921,39644,39802,W. Adduction
39209,40237,40356,39842,39881,39763,39763,39960,W. Adduction
38577,40395,40356,39842,39723,39723,39842,39881,W. Adduction
38024,40395,40356,40000,39881,39842,39881,39644,W. Adduction
38419,40672,40237,40435,40435,40039,39921,39960,W. Adduction
40316,41107,39960,40514,40751,40197,39881,40395,W. Adduction
42095,40514,39565,40079,40435,40158,39842,40711,W. Adduction
