rawDataOut1,rawDataOut2,rawDataOut3,rawDataOut4,rawDataOut5,rawDataOut6,rawDataOut7,rawDataOut8
40514,39130,40593,39605,39249,39486,39605,39723
40632,40474,40356,39170,39091,39486,39525,39644
40474,41699,40474,39328,39367,39644,39605,39842
39367,43122,40395,39644,39684,39842,39644,40000
38735,44031,40000,39842,39842,39842,39684,40000
39328,43636,39723,39802,39802,39802,39763,40316
39881,42490,39723,39723,39565,39960,39763,40474
39881,40869,39565,39723,39644,40672,39723,40158
39605,39565,39486,40079,40158,41225,39763,39644
39486,38774,39130,40237,40474,41541,39723,39367
39763,38458,38695,39921,40276,40672,39684,39565
40039,38616,38735,39802,40118,39684,39723,39802
39723,38537,38893,39723,39842,38933,39723,39802
39407,37747,39249,39486,39486,38695,39644,39723
39249,36917,39565,39446,39486,38933,39644,39644
39051,36798,39802,39525,39723,39367,39605,39565
39328,37233,39842,39644,39960,39644,39605,39486
40316,37628,39802,39723,39921,39842,39605,39525
40948,39565,39802,39723,39921,40000,39644,39802
40711,42174,40158,39723,39842,40039,39644,39960
39446,43083,40514,39723,39723,40118,39723,39960
38221,42411,40988,39684,39684,40118,39723,39921
38537,41265,41502,39723,39525,40000,39684,39881
39881,40514,41423,40000,40000,40197,39723,39960
40435,40237,40790,40316,40632,40435,39763,39921
40316,40118,39842,40118,40672,40435,39802,39763
40593,40474,39091,39684,40158,40276,39881,39960
40869,40356,38814,39446,39684,40197,39802,40197
40948,39051,39051,39486,39763,40197,39723,40158
40869,38063,39446,39605,39802,40079,39684,39960
40039,37905,40079,39881,39881,40039,39684,39684
38261,38063,40039,40000,39921,40079,39605,39367
37786,36996,39288,39960,39684,39960,39565,39605
37786,36324,38419,39802,39644,39881,39644,39802
38656,37984,38024,39684,39565,39723,39644,39842
39288,40435,38577,39644,39446,39486,39605,39446
39565,42134,39684,39723,39407,39407,39525,39328
40000,42688,40395,39763,39763,39486,39525,39644
40197,43004,40553,39644,39802,39525,39605,39960
40356,42648,40197,39881,39486,39525,39644,40158
40435,41897,39802,40039,39644,39367,39644,40158
40276,40830,39802,39842,39960,39328,39684,40079
39960,40079,40237,39565,39960,39288,39723,40000
39565,39565,40830,39407,40237,39684,39763,39921
39328,39328,41225,39486,40593,40276,39802,39881
39802,39525,41265,39802,40790,40593,39802,39960
40474,39802,40711,39684,40158,40395,39605,39921
40948,40039,39486,39723,40000,39960,39565,39960
40909,40237,38695,39644,40079,39842,39684,39921
40830,40118,38854,39565,39644,39565,39605,39684
40435,39802,39881,39684,39249,39407,39565,39525
38893,39367,40474,39802,39130,39288,39644,39446
37826,39367,40395,39921,39209,39328,39644,39407
38379,40158,39486,40237,39367,39446,39644,39684
39288,40909,38379,40435,39407,39921,39644,39802
39170,39525,37905,40197,39288,40435,39684,39802
38577,37628,38419,39921,39644,40276,39723,39763
38024,37668,40197,39723,40237,39960,39802,39842
37826,38616,41739,39684,40356,39644,39802,39921
38695,40197,42134,39802,40514,39684,39842,40237
40079,41304,41462,39881,40672,39644,39802,40435
40869,41660,39960,39486,40276,39367,39605,40237
41897,41344,38616,39209,39486,39130,39525,40039
42727,41107,38142,39130,38972,39288,39525,40276
42411,41027,38458,39407,39367,39960,39763,40593
40988,40790,39170,39802,39842,40553,39723,40158
39881,40672,39763,40079,40039,40553,39644,39486
39446,40316,40039,40237,40316,40435,39802,39091
39170,39525,39684,40158,40395,40197,39723,38735
38774,38972,39525,39881,40276,40039,39565,38814
39328,39328,40276,39763,40079,39921,39605,39486
40118,40039,41462,39802,39684,39565,39644,40079
40000,40474,42134,39723,39367,39249,39486,40237
39170,40276,41937,39684,39446,38933,39446,40158
38616,39802,41344,39842,39644,38814,39486,40000
37944,39209,40237,40039,39684,39012,39407,39723
37549,38814,39012,39881,39723,39130,39446,39605
37549,38616,38300,39644,39763,39288,39605,39644
37984,38577,38024,39446,39446,39644,39842,39684
38695,38695,38142,39565,39328,40079,40000,39802
40632,39170,38735,39881,39802,40988,40118,40158
42371,39684,39802,40237,40593,41897,40276,40514
42569,40316,40909,40395,41027,41778,40276,40474
42529,40790,41344,40197,40632,40197,39763,39842
42450,41027,41186,39842,39960,39170,39446,39525
41699,40553,40395,39605,39525,38972,39446,39565
40474,39763,39565,39328,39209,38893,39446,39644
39367,39288,39288,39209,39051,39209,39486,39684
38419,39209,39288,39407,39367,39842,39565,39605
37865,39209,39209,39684,39802,40237,39644,39605
37470,39170,39130,39921,40039,40276,39842,39763
36719,38933,39130,39842,40118,40672,39881,39842
36877,39012,39249,39684,39723,40395,39684,39644
