,precision,recall,f1-score,support
Chuck Grip,0.7866716306775875,0.4118908382066277,0.5406857727737974,5130
Fine Pinch,0.21719055229976914,0.23840155945419103,0.22730229532571322,5130
H. Open,0.16093396936982174,0.12495126705653022,0.14067815209042028,5130
Hook Grip,0.36712702989831536,0.4715399610136452,0.4128338595443297,5130
Key Grip,0.13188262446422683,0.07797270955165692,0.09800318510351586,5130
No Move,0.8656112576956904,0.9592592592592593,0.9100323624595468,5130
Power Grip,0.15022851245761462,0.198635477582846,0.17107361705699656,5130
Thumb Enclosed,0.19735562901030526,0.19785575048732942,0.1976053733086732,5130
Tool Grip,0.3841784989858012,0.36920077972709553,0.3765407554671968,5130
W. Abduction,0.28319691863264324,0.5732943469785575,0.37911698356429263,5130
W. Adduction,0.5263049308850836,0.49727095516569203,0.5113761651799138,5130
W. Extension,0.5192407696307852,0.38927875243664717,0.44496434937611407,5130
W. Flexion,0.669921875,0.4680311890838207,0.5510672481064953,5130
W. Pronation,0.5990699555196118,0.5775828460038986,0.5881302104009527,5130
W. Supination,0.3998770239803238,0.3803118908382066,0.3898491357778,5130
macro avg,0.4172527452338386,0.3956985055230669,0.39595063103571715,76950
micro avg,0.3956985055230669,0.3956985055230669,0.3956985055230669,76950
weighted avg,0.41725274523383865,0.3956985055230669,0.39595063103571715,76950
