,precision,recall,f1-score,support
Chuck Grip,0.36529837875129356,0.2064327485380117,0.2637937476647154,5130
Fine Pinch,0.12681159420289856,0.00682261208576998,0.012948575656677765,5130
H. Open,0.039337474120082816,0.003703703703703704,0.0067699982184215215,5130
Hook Grip,0.2452627815516625,0.2674463937621832,0.25587467362924277,5130
Key Grip,0.04177109440267335,0.009746588693957114,0.0158052789631737,5130
No Move,0.17287278854254423,1.0,0.29478523200689555,5130
Power Grip,0.07471264367816093,0.00760233918128655,0.013800424628450105,5130
Thumb Enclosed,0.14097641250685683,0.05009746588693957,0.07392492449302458,5130
Tool Grip,0.30426950099081246,0.32923976608187133,0.3162625222357457,5130
W. Abduction,0.2412121212121212,0.03879142300194932,0.06683459277917717,5130
W. Adduction,0.2609024451726746,0.20175438596491227,0.22754754314609213,5130
W. Extension,0.3017744432535429,0.4939571150097466,0.3746580912249574,5130
W. Flexion,0.3282863041982106,0.09298245614035087,0.14491873006228162,5130
W. Pronation,0.3365182186234818,0.4050682261208577,0.367624944714728,5130
W. Supination,0.29816344139036116,0.4715399610136452,0.3653250773993808,5130
macro avg,0.21854464283982517,0.23901234567901233,0.1867249571215309,76950
micro avg,0.23901234567901233,0.23901234567901233,0.23901234567901233,76950
weighted avg,0.21854464283982517,0.23901234567901233,0.18672495712153092,76950
