,precision,recall,f1-score,support
Chuck Grip,0.8294964028776979,0.44951267056530214,0.5830594184576486,5130
Fine Pinch,0.2055620706986095,0.2391812865497076,0.22110100009009823,5130
H. Open,0.11736278909216431,0.06627680311890838,0.0847140899464308,5130
Hook Grip,0.35380794701986756,0.4165692007797271,0.3826320501342883,5130
Key Grip,0.26490066225165565,0.0935672514619883,0.1382886776145203,5130
No Move,0.8309955525145398,0.9469785575048733,0.8852040816326531,5130
Power Grip,0.13757942958474953,0.1814814814814815,0.156510044549046,5130
Thumb Enclosed,0.21187462326702833,0.13703703703703704,0.16642992424242423,5130
Tool Grip,0.3783723522853958,0.3307992202729045,0.35299011960478416,5130
W. Abduction,0.261161741691982,0.5530214424951267,0.3547802163446508,5130
W. Adduction,0.5096171802054155,0.5319688109161793,0.520553171196948,5130
W. Extension,0.5439657344419249,0.4208576998050682,0.47455764369710957,5130
W. Flexion,0.6190881976991904,0.5664717348927876,0.591612377850163,5130
W. Pronation,0.5553531673750253,0.5348927875243664,0.5449309899712045,5130
W. Supination,0.29359578597172165,0.4128654970760234,0.3431626701231367,5130
macro avg,0.4075155757984646,0.39209876543209876,0.3867017650303405,76950
micro avg,0.39209876543209876,0.39209876543209876,0.39209876543209876,76950
weighted avg,0.4075155757984645,0.39209876543209876,0.3867017650303404,76950
