,precision,recall,f1-score,support
Chuck Grip,0.7928687196110211,0.47680311890838206,0.5954960438222764,5130
Fine Pinch,0.20376870496951782,0.21500974658869396,0.2092383572038319,5130
H. Open,0.14577100897470766,0.10448343079922028,0.12172135801067334,5130
Hook Grip,0.35982707016960425,0.42183235867446395,0.38837042354630297,5130
Key Grip,0.2650081124932396,0.09551656920077972,0.14042126379137412,5130
No Move,0.8077372019343004,0.9442495126705653,0.8706749348431743,5130
Power Grip,0.1225141529975323,0.1645224171539961,0.14044429653049337,5130
Thumb Enclosed,0.2139705882352941,0.17017543859649123,0.18957654723127038,5130
Tool Grip,0.3668742701440249,0.36744639376218324,0.3671601090767433,5130
W. Abduction,0.2573359252059613,0.5419103313840156,0.34896127534048826,5130
W. Adduction,0.5163179916317991,0.4810916179337232,0.49808274470232095,5130
W. Extension,0.53096274794388,0.42787524366471735,0.47387737478411046,5130
W. Flexion,0.6660525103638876,0.5637426900584795,0.6106418918918919,5130
W. Pronation,0.578683671145525,0.4953216374269006,0.5337674614011134,5130
W. Supination,0.3298206983328091,0.4087719298245614,0.3650766016713092,5130
macro avg,0.410500891610207,0.39191682910981146,0.39023404558982494,76950
micro avg,0.39191682910981157,0.39191682910981157,0.39191682910981157,76950
weighted avg,0.410500891610207,0.39191682910981157,0.3902340455898249,76950
