,precision,recall,f1-score,support
Chuck Grip,0.6390438247011953,0.15633528265107213,0.2512137823022709,5130
Fine Pinch,0.14480712166172108,0.09512670565302145,0.11482352941176471,5130
H. Open,0.07873684210526316,0.03645224171539961,0.04983344437041972,5130
Hook Grip,0.24724186704384724,0.17037037037037037,0.20173110213502596,5130
Key Grip,0.12179016874541453,0.03235867446393762,0.05113198829508702,5130
No Move,0.700976290097629,0.9797270955165692,0.8172357723577236,5130
Power Grip,0.09285912533206454,0.4565302144249513,0.15432769925208392,5130
Thumb Enclosed,0.14071370640713707,0.06764132553606238,0.0913638757240653,5130
Tool Grip,0.3468934911242604,0.2742690058479532,0.30633572828216854,5130
W. Abduction,0.11571520205259782,0.17582846003898636,0.1395744680851064,5130
W. Adduction,0.4633393362490352,0.35107212475633526,0.3994676721747809,5130
W. Extension,0.38910595265456216,0.33001949317738793,0.35713532327813524,5130
W. Flexion,0.5874439461883408,0.28089668615984403,0.3800606620071212,5130
W. Pronation,0.2721109399075501,0.17212475633528265,0.21086567164179104,5130
W. Supination,0.3436932849364791,0.2953216374269006,0.3176766617739568,5130
macro avg,0.31229807328047315,0.25827160493827156,0.2561851587394334,76950
micro avg,0.2582716049382716,0.2582716049382716,0.2582716049382716,76950
weighted avg,0.31229807328047315,0.2582716049382716,0.25618515873943337,76950
