,precision,recall,f1-score,support
Chuck Grip,0.8022922636103151,0.21832358674463936,0.34324241495556235,5130
Fine Pinch,0.18319409129434555,0.2949317738791423,0.2260064231832101,5130
H. Open,0.047311827956989246,0.021442495126705652,0.02951039570757881,5130
Hook Grip,0.3118425517475399,0.17914230019493177,0.22755973752630929,5130
Key Grip,0.14195037507212926,0.047953216374269005,0.07168876584584001,5130
No Move,0.7794658563889333,0.9500974658869396,0.8563647544584029,5130
Power Grip,0.10868094701240136,0.2818713450292398,0.15687550854353133,5130
Thumb Enclosed,0.14728682170542637,0.08888888888888889,0.11086797957695113,5130
Tool Grip,0.23702696578291413,0.20389863547758286,0.21921827517552137,5130
W. Abduction,0.153049754481453,0.5042884990253411,0.23482957382108657,5130
W. Adduction,0.41005098324836126,0.21949317738791424,0.2859319451498223,5130
W. Extension,0.4345991561181435,0.36140350877192984,0.3946360153256705,5130
W. Flexion,0.6091483822982522,0.3192982456140351,0.4189794091316025,5130
W. Pronation,0.47506561679790027,0.3175438596491228,0.38065194532071506,5130
W. Supination,0.22351097178683385,0.13898635477582846,0.17139423076923077,5130
macro avg,0.3376317710201293,0.27650422352176734,0.27518382496606897,76950
micro avg,0.2765042235217674,0.2765042235217674,0.2765042235217674,76950
weighted avg,0.33763177102012926,0.2765042235217674,0.27518382496606897,76950
