,precision,recall,f1-score,support
Chuck Grip,0.6257236345330984,0.48460038986354775,0.5461935625617929,5130
Fine Pinch,0.16711214410226613,0.2803118908382066,0.20939206406989444,5130
H. Open,0.13533429187634796,0.14678362573099416,0.14082663175612495,5130
Hook Grip,0.30123598735268753,0.40857699805068226,0.34679020516214426,5130
Key Grip,0.2243502051983584,0.12787524366471734,0.16290042215048423,5130
No Move,0.8798593113661607,0.9265107212475634,0.9025826053930878,5130
Power Grip,0.1265801449519636,0.14639376218323585,0.1357678748983097,5130
Thumb Enclosed,0.17032856278976014,0.16471734892787523,0.1674759686849668,5130
Tool Grip,0.34057017543859647,0.302729044834308,0.3205366357069144,5130
W. Abduction,0.31707749600993085,0.3485380116959064,0.33206425851982546,5130
W. Adduction,0.49823390894819464,0.4949317738791423,0.49657735184822993,5130
W. Extension,0.48509548206800185,0.4060428849902534,0.442062818336163,5130
W. Flexion,0.6444444444444445,0.5257309941520468,0.5790660225442834,5130
W. Pronation,0.5638179800221975,0.4951267056530214,0.5272444213803841,5130
W. Supination,0.38381981153757755,0.3255360623781676,0.35228351439721545,5130
macro avg,0.3909055720426391,0.372293697205978,0.37745095716065474,76950
micro avg,0.3722936972059779,0.3722936972059779,0.3722936972059779,76950
weighted avg,0.3909055720426391,0.3722936972059779,0.3774509571606547,76950
