,precision,recall,f1-score,support
Chuck Grip,0.8323464100666174,0.438401559454191,0.5743105209397344,5130
Fine Pinch,0.22086920008398067,0.2050682261208577,0.21267562923279085,5130
H. Open,0.17263544536271808,0.10994152046783626,0.13433369060378705,5130
Hook Grip,0.3599875544492844,0.4510721247563353,0.40041529676414606,5130
Key Grip,0.27746319365798416,0.09551656920077972,0.14211136890951276,5130
No Move,0.8190271816881259,0.8927875243664717,0.8543182242119007,5130
Power Grip,0.14316050256591753,0.15769980506822612,0.1500788424079399,5130
Thumb Enclosed,0.19597633136094675,0.16140350877192983,0.17701763762693745,5130
Tool Grip,0.39146644573322287,0.3684210526315789,0.3795942960433822,5130
W. Abduction,0.27574721710929967,0.6132553606237817,0.3804341254005683,5130
W. Adduction,0.5040607344632768,0.5565302144249513,0.5289975912544006,5130
W. Extension,0.5235364396654719,0.4270955165692008,0.4704240472356414,5130
W. Flexion,0.6126506024096385,0.5947368421052631,0.6035608308605341,5130
W. Pronation,0.5728136129798179,0.564327485380117,0.5685388845247447,5130
W. Supination,0.3050031075201989,0.38265107212475635,0.3394431955732319,5130
macro avg,0.4137829319411001,0.40126055880441847,0.39441694543928346,76950
micro avg,0.40126055880441847,0.40126055880441847,0.40126055880441847,76950
weighted avg,0.41378293194110005,0.40126055880441847,0.3944169454392835,76950
