,precision,recall,f1-score,support
Chuck Grip,0.2751376412634019,0.3701754385964912,0.315658244680851,5130
Fine Pinch,0.11069882498453927,0.03489278752436647,0.05306061953460797,5130
H. Open,0.0030211480362537764,0.0001949317738791423,0.00036623329060611604,5130
Hook Grip,0.023696682464454975,0.0009746588693957114,0.001872308556450103,5130
Key Grip,0.09964437149500752,0.28401559454191033,0.14752936411502632,5130
No Move,0.31442731277533037,0.11130604288499026,0.164411171897495,5130
Power Grip,0.0625,0.0001949317738791423,0.00038865137971239803,5130
Thumb Enclosed,0.03870967741935484,0.0011695906432748538,0.002270577105014191,5130
Tool Grip,0.0,0.0,0.0,5130
W. Abduction,0.20522997898669157,0.17134502923976608,0.1867629873579093,5130
W. Adduction,0.3232122587968218,0.22202729044834307,0.2632308758955396,5130
W. Extension,0.069580078125,0.05555555555555555,0.06178192065900715,5130
W. Flexion,0.005700087693656825,0.00760233918128655,0.006515202138322753,5130
W. Pronation,0.053584764749813295,0.11189083820662768,0.07246559777805832,5130
W. Supination,0.05462538583855579,0.2276803118908382,0.08811104405552202,5130
macro avg,0.10931788084192547,0.10660168940870696,0.09096165322960817,76950
micro avg,0.10660168940870696,0.10660168940870696,0.10660168940870696,76950
weighted avg,0.10931788084192545,0.10660168940870696,0.09096165322960814,76950
