,precision,recall,f1-score,support
Chuck Grip,0.7994289793004996,0.21832358674463936,0.3429796355841372,5130
Fine Pinch,0.1831170377425884,0.29980506822612085,0.22736344149604554,5130
H. Open,0.04616030214015946,0.021442495126705652,0.029282576866764273,5130
Hook Grip,0.3160569105691057,0.18187134502923977,0.23088344469190797,5130
Key Grip,0.13231118682566723,0.04541910331384016,0.06762443767232622,5130
No Move,0.7781335040819594,0.9475633528265107,0.8545310714599631,5130
Power Grip,0.10862818125387957,0.2729044834307992,0.1554001554001554,5130
Thumb Enclosed,0.14527238572323106,0.09044834307992203,0.1114848630466122,5130
Tool Grip,0.23292817679558012,0.20545808966861598,0.21833247022268257,5130
W. Abduction,0.15080894807546288,0.5033138401559454,0.23207945710305156,5130
W. Adduction,0.41194129419613074,0.24074074074074073,0.3038877952755905,5130
W. Extension,0.4348749410099103,0.3592592592592593,0.39346712211784796,5130
W. Flexion,0.603515625,0.30116959064327486,0.40182054616384916,5130
W. Pronation,0.48842042755344417,0.3206627680311891,0.3871499176276771,5130
W. Supination,0.2339622641509434,0.13294346978557506,0.16954630205096333,5130
macro avg,0.3377040109612375,0.2760883690708252,0.2750555491186383,76950
micro avg,0.27608836907082523,0.27608836907082523,0.27608836907082523,76950
weighted avg,0.3377040109612375,0.27608836907082523,0.2750555491186382,76950
