rawDataOut1,rawDataOut2,rawDataOut3,rawDataOut4,rawDataOut5,rawDataOut6,rawDataOut7,rawDataOut8,Action
41265,39605,40237,40000,39763,40039,39802,39525,H. Open
38893,39565,39921,39605,39723,39842,38814,39881,H. Open
39328,39565,40000,39605,39605,39684,38933,39881,H. Open
39407,39881,40079,39763,39763,39605,39130,39644,H. Open
38695,40672,40118,39960,40158,39960,39684,39130,H. Open
38972,40751,39960,40000,40435,40197,40553,39328,H. Open
39802,39881,39684,39960,40197,40039,40988,39960,H. Open
40632,39170,39486,39802,39921,39921,41067,40118,H. Open
41146,39249,39446,39605,39605,39881,40474,40158,H. Open
41146,39842,39644,39525,39486,40039,39881,40197,H. Open
40830,40237,39921,39644,39684,40197,39921,40316,H. Open
40395,40356,39881,39881,39842,40039,39249,40316,H. Open
39684,40751,39684,40000,39921,39723,38616,40276,H. Open
38656,41225,39723,39960,39960,39565,38735,39960,H. Open
38221,40790,39802,39684,39802,39446,39684,39605,H. Open
38656,39763,39960,39605,39565,39525,40948,39525,H. Open
39091,39051,40000,39605,39644,39842,41304,39486,H. Open
39091,38774,39842,39802,40079,40039,40158,39525,H. Open
39407,38814,39763,39802,40118,39565,38419,39486,H. Open
39723,39209,39842,39960,40158,39525,38024,39723,H. Open
40118,39921,40000,40079,40356,40000,38616,40079,H. Open
40474,40790,40237,40039,40316,40356,39723,40276,H. Open
40830,41107,40316,39960,39921,40356,40158,40237,H. Open
41146,40909,40316,39960,39763,40039,39960,40158,H. Open
41265,40593,40237,39684,39565,39605,39565,40118,H. Open
41146,40197,40118,39525,39367,39446,39644,40000,H. Open
41107,39960,39921,39644,39644,39802,39723,39684,H. Open
40909,39605,39723,39842,39842,40000,39130,39763,H. Open
40158,39170,39486,39684,39763,39723,38379,39605,H. Open
38300,38814,39367,39684,39802,39525,38695,38893,H. Open
36640,39328,39525,39644,39723,39684,39921,38854,H. Open
37035,40316,39763,39644,39525,39723,40909,39684,H. Open
38221,40830,39723,39644,39525,39723,40869,40000,H. Open
38419,40593,39407,39684,39802,39802,40118,39763,H. Open
37905,39881,39328,39684,39842,39960,40197,39367,H. Open
38103,39367,39328,39565,39407,39684,40948,39249,H. Open
39684,39130,39605,39605,39565,39802,41186,39723,H. Open
