rawDataOut1,rawDataOut2,rawDataOut3,rawDataOut4,rawDataOut5,rawDataOut6,rawDataOut7,rawDataOut8,Action
41344,40118,39209,39644,41383,39051,39288,39249,Hook Grip
38656,39605,40158,39842,39763,39842,39525,39328,Hook Grip
39091,39446,39921,39960,40118,40039,39644,39723,Hook Grip
40711,39328,39763,39802,40079,39960,39565,40039,Hook Grip
41225,39525,39723,39605,39723,39842,39605,40158,Hook Grip
40474,39881,39763,39446,39486,39763,39723,40237,Hook Grip
39881,39921,39921,39723,39763,39921,39723,40276,Hook Grip
39723,39723,39881,39881,40000,39881,39763,40118,Hook Grip
39525,39565,39763,39960,40079,39842,39723,40039,Hook Grip
39407,39605,39605,40000,40158,39881,39644,40000,Hook Grip
39446,39723,39644,39881,40197,39881,39565,39842,Hook Grip
39565,39723,39723,39842,40039,39802,39525,39644,Hook Grip
39565,39921,39802,39842,39881,39763,39525,39525,Hook Grip
39644,40316,39802,39723,39763,39723,39605,39486,Hook Grip
39763,41344,39921,39723,39684,39684,39723,39644,Hook Grip
39802,42569,40118,39684,39684,39684,39723,39763,Hook Grip
39802,42371,40197,39723,39842,39763,39684,39802,Hook Grip
39763,41186,40158,39842,39960,39842,39605,39802,Hook Grip
39763,39881,40079,39921,40039,39881,39605,39802,Hook Grip
39723,39486,40079,39881,40000,40000,39644,39723,Hook Grip
39684,39288,40039,39644,39605,39723,39565,39446,Hook Grip
39684,38735,39921,39565,39446,39565,39525,39446,Hook Grip
39763,38024,39763,39723,39881,39802,39605,39763,Hook Grip
39763,37352,39486,39921,40158,40000,39684,40039,Hook Grip
39723,37312,39407,39723,39921,39921,39605,40000,Hook Grip
39644,38340,39565,39605,39525,39763,39684,39881,Hook Grip
39605,39288,39525,39684,39209,39644,39723,39802,Hook Grip
39565,40000,39565,39684,39130,39565,39684,39723,Hook Grip
39684,40514,39684,39684,39288,39525,39644,39763,Hook Grip
39763,41344,39881,39842,39565,39525,39644,39723,Hook Grip
39802,41620,40158,39842,40079,39525,39644,39802,Hook Grip
40000,41739,40276,39921,40514,39684,39684,39960,Hook Grip
40158,42490,40356,39921,40711,39881,39723,40158,Hook Grip
40356,42846,40435,39960,40751,40039,39802,40276,Hook Grip
40514,42411,40079,39842,40553,40079,39763,40276,Hook Grip
40435,41225,39763,39684,40197,40158,39565,39960,Hook Grip
40118,39960,39921,39565,39960,40316,39605,39644,Hook Grip
39881,39012,40197,39525,39763,40474,39684,39644,Hook Grip
39684,37984,40197,39960,39960,40474,39723,39802,Hook Grip
39328,36719,39842,40197,40118,40197,39723,39723,Hook Grip
38735,35731,39407,40118,40079,39644,39723,39446,Hook Grip
38656,35771,39209,39644,39763,39328,39605,39249,Hook Grip
39051,36601,39209,39525,39723,39565,39170,39446,Hook Grip
39367,37707,39249,39644,39605,39605,38695,39605,Hook Grip
39367,38774,39209,39565,39328,39525,38814,39684,Hook Grip
39446,40553,39170,39565,39249,39684,39407,39802,Hook Grip
39525,42529,39486,39605,39446,39763,39921,39921,Hook Grip
39881,43794,40039,39605,39684,39763,40316,39921,Hook Grip
40356,43755,40474,39802,40039,39802,40435,39921,Hook Grip
40593,42371,40632,39842,39960,39960,40869,39921,Hook Grip
40395,40395,40356,39723,39684,40197,41304,40000,Hook Grip
39842,38814,39921,39644,39486,39921,40711,40039,Hook Grip
38577,37984,39684,39644,39684,39605,39842,39802,Hook Grip
38221,37549,39684,39842,40316,39921,39288,39644,Hook Grip
39565,37707,39684,40000,40869,40356,39130,39525,Hook Grip
40830,38024,39486,40000,40869,40395,38774,39921,Hook Grip
40988,38498,39328,39763,40276,40000,38498,40158,Hook Grip
40356,38735,39446,39565,39921,39525,38972,40000,Hook Grip
39723,39288,39605,39565,40000,39328,39328,39921,Hook Grip
39367,40276,39644,39763,39921,39288,39763,40079,Hook Grip
39249,41739,39605,39842,39644,39091,39921,40000,Hook Grip
39209,42727,39881,39802,39446,39328,40118,39842,Hook Grip
39209,42371,40079,39802,39367,39842,40356,39684,Hook Grip
39407,41502,40118,39763,39367,40276,40276,39525,Hook Grip
39684,41107,40276,39842,39407,40356,40395,39684,Hook Grip
39802,41027,40474,39881,39684,40514,40158,39723,Hook Grip
39763,40474,40316,39842,39486,40276,39684,39763,Hook Grip
39684,39644,40118,39842,39249,40118,39130,39723,Hook Grip
39605,38577,39802,39842,39723,39960,38972,39605,Hook Grip
39446,37510,39684,39802,39960,39723,39249,39605,Hook Grip
39486,37549,39684,39684,39288,38933,39842,39723,Hook Grip
39605,39328,39802,39525,38854,37984,39684,39881,Hook Grip
39565,41027,39842,39486,38933,37984,38893,39723,Hook Grip
39684,41581,39684,39525,39249,38933,38656,39565,Hook Grip
39723,41383,39525,39802,40079,40237,39446,39525,Hook Grip
39644,41937,39842,40039,40830,41423,40276,39763,Hook Grip
39525,42016,40395,40039,41304,41778,40158,40000,Hook Grip
39565,41027,40553,39960,41225,41186,39328,39802,Hook Grip
39802,39763,40593,39881,40948,40711,39525,39605,Hook Grip
40000,38182,40356,39921,40751,40276,40395,40039,Hook Grip
39960,36522,39842,39763,40276,39605,40593,40474,Hook Grip
40158,35494,39091,39644,39881,39407,40000,40711,Hook Grip
40276,35612,38616,39605,39328,39249,39644,40711,Hook Grip
40197,37707,38893,39684,39051,39288,39565,40158,Hook Grip
39960,39842,39209,39763,39012,39367,39288,39644,Hook Grip
39644,41541,39565,39763,39091,39367,39328,39288,Hook Grip
39446,42727,39960,39723,39209,39525,39446,39328,Hook Grip
39288,42964,40435,39842,39407,39723,39249,39644,Hook Grip
39328,43597,40830,39921,39723,40039,38972,39921,Hook Grip
39565,44466,40948,40000,40197,40237,38893,39684,Hook Grip
39802,43992,40751,40079,40395,40118,39051,39446,Hook Grip
39921,42529,40395,40079,40316,39960,39288,39446,Hook Grip
40079,40672,40079,39802,39842,39684,39446,39525,Hook Grip
40395,39288,40000,39525,39288,39644,40000,39763,Hook Grip
40711,38735,40079,39486,39486,39881,40909,40039,Hook Grip
40435,37905,40079,39723,40079,40237,41383,40197,Hook Grip
40079,37193,39960,39802,40514,40435,41146,40158,Hook Grip
39605,36403,39763,39723,40553,40474,40000,39881,Hook Grip
38933,35375,39446,39763,40632,40356,38577,39644,Hook Grip
39407,34110,38735,39565,40356,40039,38182,39644,Hook Grip
40039,33913,38142,39288,39921,39644,38616,39881,Hook Grip
40000,36008,38103,39328,39723,39525,39209,40079,Hook Grip
39723,39288,38616,39525,39644,39644,39921,40197,Hook Grip
38972,41778,39525,39763,39565,39763,40079,39921,Hook Grip
38103,42609,40118,39960,39605,39842,39960,39605,Hook Grip
38577,42095,40276,40000,39565,39960,39605,39446,Hook Grip
39881,41937,40237,39960,39249,40000,40197,39605,Hook Grip
40593,42806,40316,39763,38616,39842,40909,39881,Hook Grip
40593,43557,40593,39644,38656,39644,41225,40118,Hook Grip
40474,42925,40790,39763,39605,39802,41107,40158,Hook Grip
40316,41383,40593,39881,40593,40158,40356,40118,Hook Grip
40039,39802,40079,40118,40988,40158,39170,39921,Hook Grip
39684,38735,39842,40158,40869,39842,38024,39605,Hook Grip
39605,38379,39763,40039,40316,39367,37470,39486,Hook Grip
39644,38972,39684,39684,39802,39328,38261,39723,Hook Grip
39644,39407,39684,39763,39881,39763,39605,39921,Hook Grip
39684,39170,39723,39842,39960,40039,40039,39881,Hook Grip
39684,38695,39723,39881,39921,40079,40118,39763,Hook Grip
39525,38458,39644,39802,39723,40039,40276,39684,Hook Grip
39525,38933,39407,39605,39446,39881,40276,39644,Hook Grip
39565,39446,39367,39605,39407,39763,40158,39802,Hook Grip
39525,39684,39525,39605,39446,39763,39960,39921,Hook Grip
39446,39446,39644,39486,39486,39763,39763,39802,Hook Grip
39407,38854,39525,39486,39486,39684,39605,39565,Hook Grip
39525,38616,39486,39605,39525,39684,39565,39565,Hook Grip
39644,39288,39763,39763,39763,39921,39486,39684,Hook Grip
39644,40988,40158,39960,39960,40079,39565,39763,Hook Grip
39605,41858,40158,40079,40079,40039,39605,39763,Hook Grip
39605,41541,40197,39921,39881,39763,39525,39802,Hook Grip
39605,40751,40079,39605,39486,39525,39446,39802,Hook Grip
39802,40237,40039,39605,39367,39565,39486,39842,Hook Grip
39960,39921,40118,39763,39723,39842,39723,40079,Hook Grip
40039,39525,40000,39842,40197,40158,39723,40118,Hook Grip
40039,39249,39881,39763,40000,40000,39565,40000,Hook Grip
40000,38933,39684,39723,39960,39921,39565,39921,Hook Grip
39802,39091,39565,39684,39842,39921,39605,39842,Hook Grip
39644,39446,39525,39605,39723,39842,39684,39723,Hook Grip
39644,40039,39684,39644,39644,39802,39684,39605,Hook Grip
39684,40869,40039,39723,39802,39802,39605,39684,Hook Grip
39684,41502,40237,39842,39960,39881,39605,39763,Hook Grip
39605,41660,40158,39881,40118,39921,39605,39723,Hook Grip
39605,41858,40158,40039,40237,40079,39644,39763,Hook Grip
39723,42134,40276,40039,40237,40079,39644,39802,Hook Grip
