rawDataOut1,rawDataOut2,rawDataOut3,rawDataOut4,rawDataOut5,rawDataOut6,rawDataOut7,rawDataOut8,Action
41225,40158,39644,39525,39486,39605,40197,39684,Key Grip
39565,40079,40158,39525,39209,40316,39051,39328,Key Grip
40000,40276,39723,39288,38774,38142,38142,39525,Key Grip
40158,40316,39051,39130,38695,37114,38103,39763,Key Grip
40079,40158,38814,39367,39130,35968,38340,39881,Key Grip
39881,39881,38379,39723,39565,35099,38379,40000,Key Grip
39723,39288,37865,39881,39842,36126,38854,40079,Key Grip
39802,38774,37431,39881,40158,37826,39723,39881,Key Grip
39842,38458,37431,39881,40158,39249,40197,39723,Key Grip
39723,38577,38142,39605,39525,40197,40435,39565,Key Grip
39881,39249,39407,39644,39446,41067,40751,39802,Key Grip
39960,39723,40276,39842,39921,42332,40790,40237,Key Grip
39921,39723,40474,40000,40435,42767,40356,40158,Key Grip
39960,39802,40830,39921,40158,42292,39881,39960,Key Grip
39842,40079,41581,39802,39842,41699,39605,39763,Key Grip
39605,40237,42134,39763,39644,40830,39446,39565,Key Grip
39486,40435,42055,39802,39525,40079,39486,39605,Key Grip
39486,40672,41541,39842,39644,39644,39723,39763,Key Grip
39288,40790,41146,39881,39881,39051,39525,39960,Key Grip
38972,40514,39921,39684,39881,38142,39446,39644,Key Grip
38893,39921,38814,39486,39605,37905,39367,39328,Key Grip
39209,39446,38300,39446,39446,38221,39328,39091,Key Grip
39881,39328,38537,39525,39249,38695,39288,39407,Key Grip
40237,39486,38893,39605,39525,39209,39525,39881,Key Grip
40158,39525,39091,39802,39881,39605,39486,40039,Key Grip
40039,39367,38854,39842,39881,39684,39446,40039,Key Grip
40158,39288,38735,39802,39763,39842,39881,40395,Key Grip
40118,39249,38695,39881,40079,39684,40039,40395,Key Grip
39881,39407,38933,39763,40158,39170,39921,40118,Key Grip
39763,39605,39288,39644,39565,38854,39605,39605,Key Grip
40039,39802,39644,39407,38972,38695,39446,39288,Key Grip
40158,40000,39881,39486,38933,38933,39407,39288,Key Grip
39960,40118,39960,39802,39486,39525,39525,39565,Key Grip
39723,40079,39842,39881,39881,39842,39565,39763,Key Grip
39525,39763,39644,40079,40276,40197,39723,40079,Key Grip
39486,39605,39525,40197,40672,40474,39921,40237,Key Grip
39367,39525,39486,40039,40553,40356,39921,40118,Key Grip
39446,39605,39842,39802,40000,40158,39921,39960,Key Grip
39605,39763,40158,39565,39644,40118,39881,40079,Key Grip
39802,39802,40237,39486,39644,40158,40039,40553,Key Grip
39644,39842,40237,39605,39881,39881,39763,40356,Key Grip
39486,39881,40118,39802,39921,39723,39328,39446,Key Grip
39525,40000,40118,39921,39921,39763,39407,38656,Key Grip
39763,40158,40316,40000,40039,39842,39881,38854,Key Grip
39921,40276,40474,40118,40197,39960,40158,39644,Key Grip
39960,40197,40553,40079,39921,39921,40118,39842,Key Grip
39921,40000,40632,39921,39446,39605,39842,39723,Key Grip
39644,39842,40276,39763,39446,39605,39802,39842,Key Grip
39407,39842,39802,39644,39842,40632,39881,39960,Key Grip
39288,39921,39644,39605,39842,41581,39802,39881,Key Grip
39486,39960,39605,39486,39684,41423,39684,39881,Key Grip
39763,39960,39525,39565,39605,39842,39605,40000,Key Grip
39921,39960,39446,39605,39249,38537,39644,39960,Key Grip
39960,39605,39249,39446,39209,38498,39723,39921,Key Grip
39921,39486,39012,39565,39723,39091,39723,39921,Key Grip
