rawDataOut1,rawDataOut2,rawDataOut3,rawDataOut4,rawDataOut5,rawDataOut6,rawDataOut7,rawDataOut8,Action
41344,40197,41778,39763,42609,40751,39960,40237,W. Flexion
39051,39209,39486,39446,38972,36166,41225,39130,W. Flexion
41225,39802,39763,39763,39446,36640,40158,40395,W. Flexion
41976,40197,40000,39960,40276,38498,39842,40356,W. Flexion
40553,40237,40118,40079,40830,39842,40237,39723,W. Flexion
39091,40514,40197,40000,40474,40276,40395,39446,W. Flexion
38656,40514,40237,39644,39881,39881,39565,39565,W. Flexion
39012,40158,40118,39565,39170,39446,39051,39565,W. Flexion
39605,39960,39881,39684,39130,39407,39367,39763,W. Flexion
39881,39842,39763,40039,39684,39802,38656,40079,W. Flexion
39960,39802,39881,40000,39565,40395,39012,40356,W. Flexion
39881,39763,39802,39921,39644,41423,40751,40158,W. Flexion
39763,39842,39802,39842,40118,42213,42569,39881,W. Flexion
39684,39881,39763,39763,40514,41858,43162,39723,W. Flexion
39525,39763,39684,39486,40079,40909,42490,39328,W. Flexion
39565,39763,39723,39446,39328,40276,40316,39249,W. Flexion
39802,39960,39960,39644,39723,39288,36522,39605,W. Flexion
39723,40000,39881,39802,39921,37905,31976,38893,W. Flexion
39723,40000,39842,39960,40197,38814,35691,38774,W. Flexion
39921,39921,39684,40000,40118,40237,41699,40158,W. Flexion
40158,39802,39605,39881,39288,40316,43755,41344,W. Flexion
40197,39802,39723,39723,39170,39763,42134,41265,W. Flexion
39921,39723,39921,39684,39763,39367,39525,40158,W. Flexion
39723,39763,40000,39881,40197,39802,39170,39288,W. Flexion
39723,39960,39921,40079,40711,40197,39407,39367,W. Flexion
39684,40000,39842,39960,40474,39842,39130,39881,W. Flexion
39684,40079,39842,39644,39960,39565,40079,40197,W. Flexion
39605,39921,39802,39446,39684,39565,39367,39367,W. Flexion
39644,39842,39644,39525,39763,39565,38261,38854,W. Flexion
39842,39960,39802,39684,39842,39723,38537,39249,W. Flexion
40000,40000,39960,40039,40000,40514,39525,39881,W. Flexion
39921,40000,39960,40118,40079,41027,40751,40237,W. Flexion
40000,40079,39842,39842,40000,40790,41423,40435,W. Flexion
40039,40039,39802,39763,39842,40237,40276,40395,W. Flexion
39763,39802,39723,39684,39802,39209,38537,39605,W. Flexion
39565,39644,39723,39605,39565,37510,36680,38933,W. Flexion
39605,39723,39802,39565,39525,36522,36126,38814,W. Flexion
39763,39881,39842,39446,39486,37984,38261,39407,W. Flexion
40158,39960,39881,39644,39644,40237,42371,40435,W. Flexion
40276,40000,39802,40079,40158,41739,43794,41344,W. Flexion
40237,40158,39921,40356,40909,42134,42016,41581,W. Flexion
40079,40118,39921,40237,40672,41067,39288,40790,W. Flexion
39525,39881,39763,39723,39525,39644,37865,39525,W. Flexion
38577,39565,39565,39367,38972,38854,38735,38261,W. Flexion
37865,39446,39644,39565,39288,38774,40672,38261,W. Flexion
38498,39644,39960,39842,40000,39407,42134,39170,W. Flexion
39960,40276,40237,39842,40079,40118,42174,40435,W. Flexion
40869,40474,40079,39921,39921,40237,40553,41344,W. Flexion
40988,40356,39921,39842,39881,40079,38182,40988,W. Flexion
40632,40158,39960,39802,40118,39802,36166,40158,W. Flexion
40118,39960,39802,39842,40158,39525,34071,39328,W. Flexion
39763,39605,39486,39486,39921,39170,36166,39249,W. Flexion
39565,39446,39367,39328,39644,39723,40276,39684,W. Flexion
39367,39367,39605,39565,39763,40158,42213,39960,W. Flexion
39249,39407,39842,39802,39802,40316,42213,39684,W. Flexion
39328,39605,39921,39881,39723,40237,41541,39170,W. Flexion
39446,39881,39842,39842,39763,39723,40316,38854,W. Flexion
39605,40000,39881,39881,39921,39091,39091,39170,W. Flexion
40039,40079,39960,39763,39842,39012,39525,40158,W. Flexion
40197,40197,40000,39684,39921,39605,40711,40395,W. Flexion
39842,40197,39842,39881,40237,40474,41699,39960,W. Flexion
39605,40118,39842,40079,40474,41146,41620,40237,W. Flexion
39684,40039,39921,40039,40395,41146,39802,40474,W. Flexion
39644,40000,39921,39921,40118,40197,37826,40118,W. Flexion
39644,39802,39881,39921,40514,38972,37035,39605,W. Flexion
40039,39842,39881,39881,40632,38814,38498,39130,W. Flexion
40474,40118,39921,39842,40118,39288,40632,39684,W. Flexion
40474,40276,39960,39921,39763,39763,40593,40237,W. Flexion
40316,40197,39960,39842,39684,40276,39684,40356,W. Flexion
40118,39960,39921,39881,39802,40553,39684,40118,W. Flexion
39565,39684,39802,39763,39723,40711,40435,39881,W. Flexion
39130,39565,39644,39525,39288,40593,41027,39605,W. Flexion
38735,39407,39446,39249,38458,40118,40988,38933,W. Flexion
37984,39328,39486,38972,38063,38537,39842,38537,W. Flexion
38103,39367,39605,39209,38656,38182,39130,38854,W. Flexion
38972,39684,39921,39842,39802,39525,40316,39328,W. Flexion
40197,40039,40197,40356,40790,40553,43043,40553,W. Flexion
41067,40276,40237,40435,40790,40553,41937,41541,W. Flexion
40948,40316,40079,39921,39723,38972,38419,40395,W. Flexion
40474,39921,39723,39288,38616,37628,35968,38182,W. Flexion
40316,39644,39486,39209,38854,38103,33873,38379,W. Flexion
40395,39960,39644,39842,40395,39288,34150,40197,W. Flexion
40356,40553,40039,40356,41699,40632,36759,41462,W. Flexion
40118,40790,40316,40514,42174,42371,40751,41541,W. Flexion
39842,40593,40276,40276,41462,42688,42529,40000,W. Flexion
39407,40118,40158,39960,39881,41186,42411,38854,W. Flexion
38972,39644,40000,39684,38893,39605,41937,38774,W. Flexion
38695,39209,39723,39407,38537,38498,41225,39091,W. Flexion
38656,39130,39565,39288,38616,38458,40711,39763,W. Flexion
39012,39328,39525,39565,39209,39288,40474,40474,W. Flexion
39644,39249,39446,39605,39565,39881,40948,40869,W. Flexion
40593,39328,39525,39644,39802,40079,41462,40356,W. Flexion
40948,39881,39723,39605,39763,39644,41423,40039,W. Flexion
40197,40197,39881,39644,39446,38616,41423,39960,W. Flexion
39605,40356,40000,39723,39446,38300,38933,39130,W. Flexion
40000,40514,40197,39723,39644,38735,36719,38774,W. Flexion
39960,40395,40039,39921,40158,40474,37668,39407,W. Flexion
39723,40237,39881,40039,40474,41976,39249,39960,W. Flexion
39605,40000,39921,40079,40632,41462,36838,39644,W. Flexion
39525,39763,39921,39842,40158,40790,34624,39249,W. Flexion
39644,39921,40039,39960,40000,40553,38142,39960,W. Flexion
