rawDataOut1,rawDataOut2,rawDataOut3,rawDataOut4,rawDataOut5,rawDataOut6,rawDataOut7,rawDataOut8,Action
41344,38854,39012,39723,40197,39249,39644,39605,W. Pronation
39525,39763,39051,39802,39525,40118,39881,40039,W. Pronation
39525,39565,38933,39644,40356,40830,39802,39960,W. Pronation
39407,39605,39367,40158,44031,40197,39446,39763,W. Pronation
39407,39525,39525,40158,44190,38854,39170,39802,W. Pronation
39605,39565,39763,40197,41739,38379,39249,39960,W. Pronation
39605,39960,40514,40435,39723,38616,39367,39802,W. Pronation
39802,40316,40988,40672,38221,39328,39605,39328,W. Pronation
40158,40474,41186,40790,37391,40039,39881,39367,W. Pronation
40197,40474,41067,40316,36482,40039,40039,39881,W. Pronation
40118,40316,40632,39605,37589,39763,39960,40118,W. Pronation
39881,40197,40158,39328,39605,40079,39842,40039,W. Pronation
39446,39921,39842,39288,39486,40474,39644,39881,W. Pronation
39249,39644,39605,39288,38300,40237,39644,39842,W. Pronation
39367,39051,39288,39446,38458,40039,39684,39842,W. Pronation
40079,38814,39209,39525,38419,40197,39842,39960,W. Pronation
40276,39288,39051,39446,37865,40395,39763,39881,W. Pronation
40276,40237,39051,39407,38814,40276,39763,39960,W. Pronation
39921,40632,39446,39684,41858,39486,39644,39881,W. Pronation
39407,40474,39525,39723,44506,38735,39446,39723,W. Pronation
39170,40079,39486,39763,43952,38340,39130,39407,W. Pronation
39051,39763,39842,40158,43241,38379,39130,39446,W. Pronation
38142,39367,40000,40316,43241,39012,39486,39565,W. Pronation
37035,38656,39763,40118,41186,40000,39763,39881,W. Pronation
37628,38695,39684,40039,39249,40593,39881,40474,W. Pronation
42925,40751,40356,40118,38103,40751,40276,41660,W. Pronation
43913,41383,40632,40118,37233,40356,39921,39723,W. Pronation
41502,40672,40237,40079,36877,40000,39565,37747,W. Pronation
39723,40039,39842,39921,35099,40000,39723,38695,W. Pronation
39012,39644,39565,39921,34308,39960,39723,39921,W. Pronation
39525,39565,39565,39684,36877,39960,39684,40079,W. Pronation
40158,39605,39644,39644,39130,40158,39605,40158,W. Pronation
39960,39565,39565,39486,40316,40000,39565,40158,W. Pronation
39684,39723,39644,39170,41699,39525,39525,40039,W. Pronation
39525,39842,39644,39130,42688,39525,39644,39960,W. Pronation
39446,39921,39842,39407,43004,39684,39684,39960,W. Pronation
39802,40039,40079,39842,43241,39881,39763,40039,W. Pronation
40237,40118,40118,39881,41778,40197,39763,40118,W. Pronation
40039,40039,39960,39921,40118,39960,39763,40276,W. Pronation
39486,39921,39802,39842,37154,39091,39802,40830,W. Pronation
38379,39842,39921,39842,37628,38893,39802,40909,W. Pronation
38379,39921,40158,40000,41304,39328,39565,39763,W. Pronation
39486,40276,40514,40197,42411,39605,39170,37707,W. Pronation
40553,40514,40711,40118,40672,40000,39130,37114,W. Pronation
41304,40197,40395,39921,40276,40909,39763,38893,W. Pronation
41502,39684,40079,39525,40237,40988,40158,40316,W. Pronation
40830,39249,39960,39446,39170,40395,40079,40593,W. Pronation
39407,39012,39881,39446,37628,39486,39723,40197,W. Pronation
37352,39170,39763,39446,36640,39367,39605,40039,W. Pronation
36640,39486,39723,39367,36640,39407,39605,40158,W. Pronation
38261,40079,39960,39960,37589,39842,39802,40474,W. Pronation
40316,40751,40237,40553,40395,39842,39842,40000,W. Pronation
41818,41186,39763,40197,42174,39842,39565,39288,W. Pronation
42016,40751,39130,39921,42885,39763,39446,39881,W. Pronation
40988,40118,39288,40237,43715,39486,39446,40316,W. Pronation
39921,39407,39249,40118,43360,38972,39407,40039,W. Pronation
39367,39249,39407,40079,43122,39565,39605,39407,W. Pronation
38182,39605,39644,39921,41858,40672,39960,39288,W. Pronation
37628,39486,39763,39644,39565,40830,39881,39446,W. Pronation
38142,38933,39644,39565,37826,40514,39881,39684,W. Pronation
39328,38854,39684,39288,37193,39960,39802,39881,W. Pronation
40672,39644,40237,39367,37944,39486,39644,40079,W. Pronation
41265,40395,40474,39407,38695,39446,39525,39960,W. Pronation
40000,40593,40474,39407,38972,39684,39525,39684,W. Pronation
38063,40316,40276,39684,39763,40079,39723,39565,W. Pronation
38221,40197,40316,40237,39723,40237,39802,39802,W. Pronation
39486,40000,40158,40158,38972,40000,39802,40000,W. Pronation
40039,39842,39763,39565,38379,40000,39802,40000,W. Pronation
40079,39723,39288,39288,38419,40039,39921,39960,W. Pronation
39960,39684,39130,39209,39170,39960,39842,39842,W. Pronation
39802,39525,39209,39249,39288,39921,39802,39842,W. Pronation
39605,39446,39130,39367,38695,39684,39605,39881,W. Pronation
39288,39407,39051,39723,40197,39051,39328,40118,W. Pronation
38814,39565,39288,39842,40316,39407,39446,40237,W. Pronation
39051,39802,39763,39960,39842,39407,39486,40039,W. Pronation
39723,40039,40079,40514,44980,38814,39288,39367,W. Pronation
40632,40197,40474,41027,48063,39130,39525,39288,W. Pronation
40395,39921,40474,40711,43083,40000,39644,39091,W. Pronation
40948,39960,40237,39921,38616,40711,39763,38893,W. Pronation
40790,39921,39960,39565,40474,40672,39842,39684,W. Pronation
39525,39881,39565,39486,41146,39802,39723,40237,W. Pronation
38893,40158,39644,39960,37114,39249,39763,40316,W. Pronation
39051,40474,40237,40435,32371,39407,40000,40435,W. Pronation
39170,40316,40316,40118,35850,39960,39921,40316,W. Pronation
39051,39960,40158,39684,41107,40711,39881,40118,W. Pronation
39170,39723,39842,39446,42569,40830,40000,40356,W. Pronation
39486,39605,39644,39170,40593,40395,39881,40316,W. Pronation
39921,39723,39644,39170,36640,40039,39605,39525,W. Pronation
40316,39881,39684,39407,35810,40158,39605,39051,W. Pronation
40356,39565,39446,39367,36759,40000,39723,39802,W. Pronation
40000,39249,39288,39328,38498,39091,39605,40514,W. Pronation
39644,39288,39446,39328,40158,38221,39328,40237,W. Pronation
40000,39723,39802,39605,42016,37786,39051,38695,W. Pronation
41186,40553,40395,40474,43636,38419,39367,38063,W. Pronation
41304,40356,40474,40711,43992,38893,39763,39525,W. Pronation
39565,39407,40158,40711,43873,39367,40158,40948,W. Pronation
37193,39012,39842,40079,42016,40711,40435,41660,W. Pronation
37391,39209,39407,39130,40000,41660,40356,41344,W. Pronation
39486,39565,38933,38024,35612,41107,39684,39486,W. Pronation
42411,40553,39288,38142,31897,39881,39091,38024,W. Pronation
41739,40988,40118,39802,32371,39288,38854,37905,W. Pronation
39842,40751,40711,41344,35612,39170,39209,38933,W. Pronation
38933,40276,40869,41383,38063,40079,40079,41107,W. Pronation
38379,39525,40356,40395,41660,40237,40276,42016,W. Pronation
37668,39249,40118,39881,43360,39486,39881,40909,W. Pronation
37114,38893,39605,39249,43834,38419,39130,38419,W. Pronation
38616,39170,39565,39249,46482,38933,39249,38419,W. Pronation
43676,40988,40593,40711,49367,40790,40000,40553,W. Pronation
44585,41383,40593,40790,45850,41462,39763,39605,W. Pronation
41976,40474,39842,40158,40316,40751,39367,38300,W. Pronation
39446,39525,39288,39763,37273,40158,39525,38577,W. Pronation
38774,38933,38854,39328,35454,40158,40276,40474,W. Pronation
38893,38972,39051,39012,34545,39921,40356,41265,W. Pronation
38933,39407,39446,38893,33280,39684,39960,40830,W. Pronation
38972,39684,39684,39170,33557,39486,39565,40237,W. Pronation
39288,40000,39960,39723,36008,38695,39328,39802,W. Pronation
39525,40237,40435,40553,39842,38300,39288,39960,W. Pronation
39328,40079,40316,40711,42450,38854,39605,40276,W. Pronation
38893,39723,39881,40158,43913,39565,39723,40158,W. Pronation
39288,40039,39644,39367,43834,40000,39565,39130,W. Pronation
39881,40435,39802,39249,43518,40790,39525,38695,W. Pronation
39881,40276,40118,39763,42371,40988,39723,39051,W. Pronation
39881,40079,40197,40118,41027,39842,39842,39960,W. Pronation
39684,39565,40039,40316,41107,39012,39763,40356,W. Pronation
39446,39209,39802,40395,40553,38933,39486,39486,W. Pronation
39486,39407,39684,40197,40672,39644,39446,39170,W. Pronation
40237,39565,39644,39763,41581,40751,39644,39842,W. Pronation
40435,39763,39802,39644,41502,41344,39723,40079,W. Pronation
40632,40356,40158,40000,41383,41581,39802,40000,W. Pronation
40593,40672,40237,40000,39407,41107,39842,39723,W. Pronation
39842,40316,40079,39921,37984,40237,39763,39881,W. Pronation
39328,40039,40039,40039,38340,39407,39842,40000,W. Pronation
39525,39921,39921,39802,37628,39091,39763,39881,W. Pronation
