rawDataOut1,rawDataOut2,rawDataOut3,rawDataOut4,rawDataOut5,rawDataOut6,rawDataOut7,rawDataOut8,Action
39960,41937,40158,39763,39644,40079,39763,39960,Hook Grip
40039,41778,40158,39842,39486,40000,39684,40039,Hook Grip
40000,41620,40039,39881,39249,39763,39684,40079,Hook Grip
39565,41739,40039,39802,38893,39684,39802,39960,Hook Grip
39407,41027,40000,39565,38458,39565,39723,39644,Hook Grip
39565,39249,39921,39446,39051,39644,39605,39525,Hook Grip
39644,39209,40039,39684,40000,39802,39644,39684,Hook Grip
39763,43280,40751,40079,40869,40039,39763,39881,Hook Grip
39802,45612,41186,40316,41067,40079,39802,39921,Hook Grip
39802,43755,40948,40158,40553,39881,39723,39723,Hook Grip
39644,40197,40039,39921,40197,39763,39684,39644,Hook Grip
39565,37747,39407,39644,39723,39684,39644,39644,Hook Grip
39763,38774,39723,39565,39367,39684,39565,39605,Hook Grip
39684,39763,40158,39723,39605,39763,39525,39605,Hook Grip
39525,38498,40197,39842,39960,39802,39605,39684,Hook Grip
39486,34940,39644,39802,39921,39723,39565,39763,Hook Grip
39723,31106,38498,39486,39723,39644,39723,40079,Hook Grip
40039,29051,36956,39170,39525,39644,39921,40395,Hook Grip
40197,32332,36719,39051,39209,39605,39881,40435,Hook Grip
40118,39565,38221,39170,38933,39525,39802,40079,Hook Grip
39960,43715,40118,39525,39249,39605,39802,39802,Hook Grip
39723,42925,40869,39921,40039,39723,39723,39605,Hook Grip
39565,42846,40474,40197,41027,39960,39644,39684,Hook Grip
39486,45810,40553,40474,41344,40039,39605,39723,Hook Grip
39486,47984,41146,40356,40909,39960,39249,39684,Hook Grip
39605,47035,41304,40000,40039,39684,39012,39525,Hook Grip
39763,44071,41027,39723,39407,39367,39051,39525,Hook Grip
39684,41027,40395,39684,39565,39763,39130,39763,Hook Grip
39446,38814,40237,39802,40356,39960,39328,39763,Hook Grip
39328,37747,40197,39842,40593,39881,39684,39684,Hook Grip
39605,36917,39802,39960,39921,40039,39960,39723,Hook Grip
39881,36284,39446,39881,39170,40276,40197,39921,Hook Grip
39960,35929,39051,39565,38498,40395,40356,39921,Hook Grip
39921,35771,38814,39407,37944,40158,40395,39921,Hook Grip
39842,35731,38695,39328,38182,39763,40276,39763,Hook Grip
39763,36719,38695,39525,39525,39170,40118,39684,Hook Grip
39486,38182,38893,39763,40632,38616,40118,39763,Hook Grip
