rawDataOut1,rawDataOut2,rawDataOut3,rawDataOut4,rawDataOut5,rawDataOut6,rawDataOut7,rawDataOut8,Action
41225,39842,39881,39605,39605,39842,39644,39802,Key Grip
40079,39960,39763,39525,39565,40356,40751,40632,Key Grip
40039,39881,39960,39367,39486,40316,41027,40158,Key Grip
39763,40000,40039,39486,39605,40118,40790,39328,Key Grip
39486,39921,39921,39723,39881,39881,40237,38498,Key Grip
39328,39921,39802,40039,40197,40000,39960,38616,Key Grip
39486,40000,39565,40079,40435,40197,40118,39723,Key Grip
39842,40079,39328,40079,40474,40158,40514,40869,Key Grip
39960,39921,39328,39960,40197,40079,40790,41699,Key Grip
39684,39407,39328,39605,39644,39723,40000,40514,Key Grip
39407,39288,39644,39446,39130,39170,38735,39051,Key Grip
39486,39525,40356,39486,39288,39012,37905,35533,Key Grip
39723,39960,40435,39881,39921,39170,38221,35652,Key Grip
40000,40237,40118,40118,40474,39367,39644,40237,Key Grip
39960,40118,39684,39960,40395,39565,40553,42213,Key Grip
39684,39723,39288,39605,39842,39802,40869,41225,Key Grip
39525,39525,38972,39446,39367,39605,40909,40276,Key Grip
39367,39644,38774,39407,39407,39288,40711,40039,Key Grip
39486,39644,39091,39446,39486,39446,40751,40000,Key Grip
39605,39802,39605,39763,39921,39802,40632,40197,Key Grip
39605,40197,40435,40237,40356,40039,40316,40118,Key Grip
39802,40395,40830,40395,40395,40237,40197,40039,Key Grip
40000,40395,40395,40197,40237,40395,40158,40039,Key Grip
40079,40356,39842,39763,39763,40118,40158,39921,Key Grip
40079,39921,40039,39525,39486,40000,40197,39881,Key Grip
39763,39486,40632,39525,39407,40118,40158,39723,Key Grip
39486,39644,41265,39644,39763,40237,40118,39802,Key Grip
39605,40158,41541,39684,40039,40118,40435,40395,Key Grip
39921,40514,41383,39802,40276,40039,40751,40988,Key Grip
40039,40593,41265,40000,40435,39960,40553,40909,Key Grip
39842,40395,40830,39684,39881,39763,39644,39605,Key Grip
39525,39842,39802,39446,39328,39684,38616,37668,Key Grip
39328,39684,38814,39407,39328,39605,39288,37865,Key Grip
39486,39881,38103,39802,39723,39288,40158,39288,Key Grip
39723,39921,38024,40237,40079,39684,40869,40197,Key Grip
40000,39960,38458,40316,40039,39921,40830,40197,Key Grip
40000,40079,39130,40237,40000,40000,39842,39723,Key Grip
39723,39881,39723,39921,39802,39763,39367,40276,Key Grip
39605,39249,40118,39407,39486,39763,39802,40316,Key Grip
39723,38933,40158,39288,39486,40435,40593,39881,Key Grip
39842,39130,40276,39407,39486,40751,41027,39763,Key Grip
39842,39525,40395,39525,39842,41225,41027,39921,Key Grip
39763,39605,40514,39802,40356,41304,41186,40276,Key Grip
39446,39605,39960,39960,40316,39960,40593,40158,Key Grip
39328,39644,39328,40000,40079,39051,39881,39684,Key Grip
39446,39802,39288,39842,39723,38933,39486,39367,Key Grip
39723,40276,39525,39802,39486,38577,38933,39486,Key Grip
40039,40869,39525,39525,39012,38024,38458,39565,Key Grip
40276,41225,39723,39684,39446,39170,39170,39960,Key Grip
40395,40988,39802,40039,40553,40514,40237,40632,Key Grip
40000,40118,39565,40039,40672,40197,40079,40474,Key Grip
39723,39249,39525,39802,40197,39960,39763,40079,Key Grip
