rawDataOut1,rawDataOut2,rawDataOut3,rawDataOut4,rawDataOut5,rawDataOut6,rawDataOut7,rawDataOut8,Action
41344,39881,39881,39723,39842,39842,39684,39881,Power Grip
40118,39842,40158,39763,39565,40356,39684,39802,Power Grip
40079,39842,40000,39763,39802,40079,39486,39763,Power Grip
39960,39842,39723,40000,40158,40039,39367,39763,Power Grip
39763,40000,39644,39921,40039,39842,39288,39644,Power Grip
40039,40553,39723,39684,39486,38656,39249,39802,Power Grip
40276,40948,39960,39565,38854,37707,39367,40039,Power Grip
39446,40395,40039,39684,39170,38537,39644,40395,Power Grip
38577,39605,40079,39842,39684,39486,39684,40553,Power Grip
38577,39486,40079,40000,40158,40197,39644,40356,Power Grip
39328,39644,39881,40118,41107,40593,39644,40039,Power Grip
40118,39644,39644,39960,42490,40593,39605,39605,Power Grip
40593,39565,39605,39842,42332,40237,39486,39209,Power Grip
40632,39565,39723,39802,40869,39842,39407,39012,Power Grip
40276,39723,39960,39565,39288,39763,39446,39209,Power Grip
40948,39763,40000,39367,38340,39684,39684,39486,Power Grip
42095,39723,39921,39407,38063,39605,39802,39605,Power Grip
42016,39723,39921,39565,38340,39486,39960,40000,Power Grip
38735,39763,39881,39842,38933,39723,40316,40474,Power Grip
36798,40000,39684,39921,39565,40474,40316,40435,Power Grip
37154,40316,39605,39842,40079,40553,39881,40197,Power Grip
37944,40276,39723,39605,40079,40237,39605,39802,Power Grip
37391,39881,39723,39446,39802,40553,39486,39091,Power Grip
36205,39605,39802,39605,40474,41383,39367,38854,Power Grip
38379,39605,39763,39960,41304,41304,39565,39446,Power Grip
41423,39763,39842,39960,40948,40079,39881,40079,Power Grip
42529,39763,39921,39960,40039,38577,39921,40356,Power Grip
42095,39842,40039,39723,39170,37352,39525,40118,Power Grip
41502,40000,40316,39486,38814,37273,39486,39960,Power Grip
41186,40237,40356,39644,39249,38774,39881,40118,Power Grip
40593,40197,40197,39842,39802,40237,40118,40237,Power Grip
39802,39921,39921,39881,39881,40435,39842,39960,Power Grip
39249,39842,39802,39960,40474,40079,39684,39684,Power Grip
39051,39921,39763,40000,40988,39960,39565,39644,Power Grip
39130,39881,39565,39921,40632,40158,39486,39605,Power Grip
39209,39723,39367,39723,39921,40237,39565,39605,Power Grip
39288,39684,39209,39565,39446,40237,39684,39684,Power Grip
39486,39723,39288,39605,39367,40158,39684,39723,Power Grip
39605,39763,39565,39605,39407,40000,39723,39802,Power Grip
39446,39881,39842,39763,39723,39960,39684,39842,Power Grip
39170,39881,39921,39802,39960,39960,39684,39802,Power Grip
39130,39723,40000,39802,40039,39881,39565,39684,Power Grip
39288,39605,40079,39684,39486,39605,39565,39565,Power Grip
39565,39763,40197,39723,39209,39525,39605,39723,Power Grip
39802,40039,40237,39881,39288,39446,39684,39881,Power Grip
39881,40237,40118,39842,39684,39565,39723,39921,Power Grip
40000,40356,40079,40000,40237,39881,39802,40039,Power Grip
40237,40632,39960,40079,40790,40158,39842,40118,Power Grip
39763,40593,39802,39881,40632,40000,39763,39960,Power Grip
39249,40118,39407,39644,40079,39525,39644,39605,Power Grip
39130,39565,39328,39565,40039,39249,39565,39565,Power Grip
39091,39012,39525,39644,40316,39130,39525,39723,Power Grip
38972,38498,39565,39605,39842,39051,39446,39802,Power Grip
39367,38458,39684,39684,39486,39525,39446,39763,Power Grip
40039,38379,39802,39605,39130,40474,39684,40118,Power Grip
40356,38340,39921,39802,39051,41107,39802,40276,Power Grip
40158,39091,40000,39960,39209,40869,39723,40039,Power Grip
40869,40790,40158,40039,39842,40988,39921,39565,Power Grip
41581,41976,40237,39960,40237,40869,39921,39605,Power Grip
40593,41858,40158,39960,40316,40118,39763,39723,Power Grip
39407,41107,39881,40079,40395,39684,39644,39881,Power Grip
38854,40276,39723,40000,40593,39486,39644,40000,Power Grip
38972,39723,39723,39802,40711,39525,39723,40000,Power Grip
39525,39486,39644,39605,40276,39921,39723,39842,Power Grip
40593,39249,39565,39328,39328,39684,39644,39644,Power Grip
41304,39525,39723,39328,38537,38656,39644,39842,Power Grip
40909,39763,39960,39525,38182,37510,39723,40158,Power Grip
39842,39723,40039,39644,38103,37075,39684,40118,Power Grip
39684,39881,40118,39842,39130,38261,39565,40079,Power Grip
39723,40039,40197,40079,40474,40079,39525,40197,Power Grip
39921,40039,40237,40237,41541,41304,39605,40237,Power Grip
39802,39723,40474,40039,41581,41581,39605,39802,Power Grip
38656,39525,40435,39565,40632,40672,39486,39209,Power Grip
37470,40079,40395,39486,39802,40356,39486,38774,Power Grip
38103,40514,40237,39644,39723,40988,39881,39091,Power Grip
39367,40356,39802,40039,40276,41502,39960,39644,Power Grip
40553,39921,39249,40158,40356,40869,39723,39960,Power Grip
40790,39723,39012,39881,39763,39960,39723,40118,Power Grip
40158,39763,39209,39644,39012,39328,39723,40197,Power Grip
39525,40158,39644,39644,38854,39130,39723,40158,Power Grip
38893,40435,39842,39802,38854,39288,39644,40000,Power Grip
39130,40000,39446,39684,39170,39407,39565,39684,Power Grip
39921,39209,38854,39684,39763,39565,39684,39763,Power Grip
40514,38656,38774,39605,40356,39605,39763,39921,Power Grip
40672,38893,39407,39644,40356,39486,39723,39921,Power Grip
40672,39407,40276,39842,40118,39328,39723,39881,Power Grip
40632,40079,40790,39881,39960,39249,39684,39842,Power Grip
40395,40672,40988,39960,39644,39209,39723,39842,Power Grip
39960,40751,40672,39881,39486,39407,39684,39763,Power Grip
39288,40356,40158,39763,39525,39842,39605,39684,Power Grip
38814,39960,39802,39644,39763,40276,39644,39802,Power Grip
38695,39921,39644,39723,39842,40237,39644,39842,Power Grip
38735,40000,39525,39763,39802,39763,39565,39881,Power Grip
38695,39328,39407,39486,39644,39367,39525,39644,Power Grip
38893,38814,39525,39407,39446,39288,39525,39407,Power Grip
39170,39288,39605,39605,39605,39288,39525,39407,Power Grip
39209,39881,39446,39960,40197,39288,39565,39644,Power Grip
39249,39525,39407,40118,40909,39249,39605,39881,Power Grip
39881,39170,39525,39921,41265,39249,39763,39921,Power Grip
40514,39644,39684,39802,40830,39605,39881,40039,Power Grip
40711,40079,39802,39644,39881,39842,39842,39881,Power Grip
39763,40158,39763,39525,38972,40158,39684,39486,Power Grip
39012,40237,39802,39644,38972,41344,39802,39407,Power Grip
40356,40276,39802,39723,39130,41699,39881,39802,Power Grip
41462,40197,39723,39842,39012,40672,39763,40237,Power Grip
40632,39960,39684,39842,38616,40000,39605,40237,Power Grip
39486,39684,39684,39921,38577,39802,39605,40039,Power Grip
