rawDataOut1,rawDataOut2,rawDataOut3,rawDataOut4,rawDataOut5,rawDataOut6,rawDataOut7,rawDataOut8,Action
41344,40000,39763,39644,38261,41344,40790,40039,W. Extension
38419,38893,40356,39763,39802,39842,40000,41620,W. Extension
44229,39209,40711,39684,39288,39525,39525,40632,W. Extension
45336,40079,39881,40237,39684,39763,39209,36601,W. Extension
39209,40079,38854,40435,39960,39763,39209,34585,W. Extension
36917,39209,38735,39921,39605,39486,39249,36838,W. Extension
41383,39091,39091,39446,39328,39446,39446,40000,W. Extension
44822,40079,39051,39605,39367,39644,39644,41581,W. Extension
44190,40276,39051,39684,39842,39881,39881,41581,W. Extension
41383,39209,40790,39960,40000,39960,39842,41186,W. Extension
39881,37470,40197,40039,40000,39921,39881,41027,W. Extension
39328,35771,37035,39921,40158,40000,40000,40672,W. Extension
34861,36442,36680,39881,39960,39921,39921,39842,W. Extension
30553,38854,38656,39644,39565,39684,39525,39012,W. Extension
34980,40711,40039,39486,39605,39684,39446,39407,W. Extension
41027,41778,40316,39644,39881,39960,39644,40118,W. Extension
43360,42055,40158,39684,40118,39960,39723,39763,W. Extension
43952,41581,40197,39723,39921,39842,39644,39051,W. Extension
43557,41304,40474,39684,39723,39723,39565,39091,W. Extension
41462,41344,41186,39565,39684,39723,39525,39565,W. Extension
40000,41383,41383,39605,39802,39842,39605,40197,W. Extension
40435,41186,41778,39565,40000,39842,39644,40474,W. Extension
39960,40751,41818,39525,39842,39881,39565,40237,W. Extension
39565,40118,41146,39525,39881,39802,39605,40118,W. Extension
39763,39565,39842,39644,39842,39723,39605,40118,W. Extension
39921,38972,38498,39881,39684,39723,39525,39446,W. Extension
39012,37944,37233,40158,39723,39763,39525,38616,W. Extension
37747,36956,36838,40158,39763,39763,39644,38854,W. Extension
37707,36956,38735,39921,39842,39684,39684,39407,W. Extension
39960,38221,40118,39842,39960,39881,39802,40158,W. Extension
42095,40672,40988,39763,40000,39960,40000,40830,W. Extension
41858,42332,41383,39565,39802,39763,39921,40593,W. Extension
40593,42450,42016,39723,39605,39644,39684,39842,W. Extension
40118,41423,41502,39842,39565,39644,39525,39407,W. Extension
40909,40237,40751,39960,39881,39723,39446,39486,W. Extension
40316,38893,39486,39763,39842,39763,39328,39288,W. Extension
36601,37707,37510,39288,39605,39723,39249,38893,W. Extension
36917,38814,37391,39446,39921,39881,39605,39763,W. Extension
38814,40514,37905,39486,40079,39921,39763,40474,W. Extension
39170,41225,37944,39407,39960,39881,39723,40474,W. Extension
40514,42055,38656,39486,40000,39960,39802,40593,W. Extension
41344,43201,41581,39684,40158,40000,39802,40435,W. Extension
39367,42727,43952,39565,40197,39960,39605,39684,W. Extension
37668,40395,43834,39091,39802,39684,39328,38814,W. Extension
38814,38735,42411,38972,39605,39644,39288,38656,W. Extension
40948,38142,41897,39328,39644,39644,39605,39644,W. Extension
41502,38893,41699,39802,39605,39644,39763,40197,W. Extension
40514,39684,41620,40395,39723,39723,39802,40197,W. Extension
40079,38340,38933,40869,39881,39802,39842,40118,W. Extension
40079,36087,35257,40988,39802,39763,39723,39842,W. Extension
40474,36403,35099,40909,39921,39723,39565,39723,W. Extension
40514,39091,37193,40711,40237,40000,39763,40079,W. Extension
40316,39407,38221,40276,40395,40039,39960,40039,W. Extension
39565,38893,38616,39328,39763,39684,39723,39486,W. Extension
37510,38616,38616,38814,39407,39525,39288,38735,W. Extension
35929,39486,39565,38735,39367,39367,39091,38182,W. Extension
40158,42490,42292,39288,39960,39881,39842,40316,W. Extension
42134,43913,43676,39644,40276,40118,40197,41423,W. Extension
41462,42925,42609,39644,40079,39881,39842,40632,W. Extension
40909,41423,40553,39565,39802,39684,39644,40039,W. Extension
40118,40118,39446,39605,39525,39644,39486,39684,W. Extension
39486,39209,39367,39605,39486,39565,39367,39842,W. Extension
39209,39012,40197,39684,39605,39565,39446,39723,W. Extension
40316,39565,41423,40000,39802,39723,39763,39209,W. Extension
41660,39763,41067,40118,39921,39881,39881,39842,W. Extension
40197,39367,39367,39881,39881,39881,39763,40276,W. Extension
36798,39288,38300,40000,40000,39960,39525,39328,W. Extension
37233,39684,38340,40276,40197,39960,39446,38814,W. Extension
40474,39644,38498,39802,39842,39802,39842,40869,W. Extension
39288,38933,38933,39170,39328,39565,39921,42055,W. Extension
34624,38933,40316,39209,39486,39644,39644,40118,W. Extension
36759,40948,43439,39921,40237,40039,39763,38300,W. Extension
41502,41818,43715,40435,40514,40079,39802,38261,W. Extension
43122,40514,41107,40593,40276,39763,39367,37865,W. Extension
43201,38577,39565,40474,39763,39644,39367,38182,W. Extension
43636,38024,39486,40079,39209,39565,39960,40316,W. Extension
44031,38221,39170,39842,39249,39644,40197,41660,W. Extension
