rawDataOut1,rawDataOut2,rawDataOut3,rawDataOut4,rawDataOut5,rawDataOut6,rawDataOut7,rawDataOut8,Action
41304,40000,41383,39881,41146,40395,40276,39486,W. Flexion
39723,39723,39802,39684,39565,40435,41344,39644,W. Flexion
39565,39881,39881,40000,40039,40711,40988,40118,W. Flexion
39565,39921,39842,39921,40039,40316,40711,40276,W. Flexion
39723,39960,39723,39802,39881,39051,40079,40000,W. Flexion
39921,39842,39763,39684,39684,38933,38893,39881,W. Flexion
39960,39802,39763,39842,39921,39684,38103,39723,W. Flexion
39921,39960,39802,39842,40039,40079,37944,39763,W. Flexion
40000,40197,40000,39960,40118,40356,39091,40118,W. Flexion
40079,40316,40039,40197,40395,40435,40711,40830,W. Flexion
40039,40276,40000,40158,40276,40237,41146,40988,W. Flexion
39763,40039,39881,39921,39802,38854,39565,40118,W. Flexion
39367,39644,39723,39565,39130,37510,39130,39328,W. Flexion
39367,39446,39565,39249,38458,37312,39012,39012,W. Flexion
39288,39446,39525,39209,38735,38379,40672,39565,W. Flexion
39209,39486,39644,39367,39605,40869,43676,40553,W. Flexion
39249,39684,39684,39644,40237,42806,43676,40316,W. Flexion
39407,39881,39881,40000,40751,44071,40514,38893,W. Flexion
39802,40158,40039,40276,40593,43320,36996,38221,W. Flexion
39921,40197,39881,40039,39802,39960,34940,38854,W. Flexion
39921,40000,39684,39605,39051,36917,34624,39328,W. Flexion
39921,39802,39644,39446,39170,36205,35652,39446,W. Flexion
40079,39921,39723,39446,39842,37035,39684,39644,W. Flexion
40158,40039,39881,39644,41027,37747,44585,39960,W. Flexion
39842,39921,39842,39723,41344,37075,44387,39684,W. Flexion
39802,40039,40079,40118,41462,38340,41423,40197,W. Flexion
40118,40276,40158,40395,40790,40711,38695,40988,W. Flexion
40000,40118,39842,39960,38854,42134,34150,40830,W. Flexion
39684,39802,39605,39367,37312,41778,35217,40711,W. Flexion
39684,39605,39605,39407,37510,41739,39486,41581,W. Flexion
39763,39763,39684,39842,38854,43557,41423,41423,W. Flexion
39565,39960,39763,40079,39644,44150,41462,39565,W. Flexion
39684,40039,39960,39921,39763,41660,41344,38340,W. Flexion
40197,40356,40158,40039,40158,36205,40158,38695,W. Flexion
40474,40711,40435,40158,40395,31106,38972,39130,W. Flexion
40356,40790,40553,40158,40790,32292,38419,39170,W. Flexion
39842,40276,40316,40039,40869,37826,37984,39288,W. Flexion
39091,39446,39605,39842,40553,42332,41304,39605,W. Flexion
38419,38854,38735,39525,39881,44466,45533,39605,W. Flexion
38340,38656,38340,38972,38537,43439,43043,39328,W. Flexion
38695,38774,38735,38814,38695,44150,35573,38814,W. Flexion
39012,39051,39328,38893,39407,44624,33715,38063,W. Flexion
39684,39921,40039,39684,40988,40553,36719,38695,W. Flexion
40711,40790,40711,40474,41778,38498,38498,40474,W. Flexion
41225,41067,40593,40395,40514,37944,42529,42332,W. Flexion
41304,40909,40356,40197,39525,38221,41620,42609,W. Flexion
40830,40514,40197,40118,39684,38063,38103,41067,W. Flexion
39486,40118,39960,39960,38893,38340,36680,39170,W. Flexion
38498,39763,39763,39644,38577,39170,39842,38893,W. Flexion
39012,39565,39684,39525,39328,39170,40909,39565,W. Flexion
40672,39644,39842,39684,40039,39565,40237,39842,W. Flexion
41620,39605,39802,39723,40435,39842,40672,40000,W. Flexion
40909,39605,39763,39723,40316,40751,42174,40830,W. Flexion
38972,39802,39802,39921,40869,41541,41265,40474,W. Flexion
36522,39763,39644,39960,41027,42727,39723,39170,W. Flexion
36759,39763,39525,39763,39723,43201,38221,38537,W. Flexion
38656,39842,39565,39605,38340,40711,37035,38616,W. Flexion
39684,40000,39881,39802,38103,39328,37273,39446,W. Flexion
39723,40039,40039,40158,38656,39763,38695,40553,W. Flexion
39723,40079,39960,40158,39328,39446,40158,40948,W. Flexion
40000,40039,39960,39802,39209,38695,39723,40118,W. Flexion
40435,40118,39763,39288,38419,38261,39644,38933,W. Flexion
40000,39921,39525,39012,38340,38537,41897,38735,W. Flexion
39605,39446,39130,38577,39012,39960,43992,38656,W. Flexion
40316,39130,38933,38735,39605,39367,43478,39723,W. Flexion
40593,39525,39446,39842,41660,40158,38577,40830,W. Flexion
40909,40118,40197,40909,44071,40988,37075,42055,W. Flexion
41225,40435,40593,41027,43399,39525,37905,41502,W. Flexion
40830,40316,40356,40593,41423,36759,39130,39644,W. Flexion
39565,40197,40118,40356,41265,35850,41739,38893,W. Flexion
38577,40118,40000,40356,41423,40276,44862,39012,W. Flexion
38577,39921,40000,40000,39842,42371,44822,38537,W. Flexion
38577,39723,39842,39367,37826,40435,41423,37984,W. Flexion
38774,39605,39763,39051,37470,39525,36047,37786,W. Flexion
39012,39644,39565,39012,37352,41620,32767,38458,W. Flexion
38972,39644,39446,39249,37075,44150,32292,39486,W. Flexion
39012,39723,39486,39565,37628,43241,34189,39644,W. Flexion
39842,39960,39723,39525,38379,40039,39960,41304,W. Flexion
40830,40237,39842,39446,39486,37628,46284,43320,W. Flexion
41541,40356,39842,39605,40869,38024,50198,44111,W. Flexion
41107,40118,39842,39881,41739,38735,44782,41541,W. Flexion
39881,40000,39802,40158,42016,38774,34427,38261,W. Flexion
38854,39960,39881,40474,41739,38774,29684,36877,W. Flexion
38893,39802,39881,40435,41225,39644,35810,37589,W. Flexion
39921,39842,40000,40316,40830,40079,41265,39012,W. Flexion
41265,40039,40118,40276,40158,39407,41660,40553,W. Flexion
41581,39842,40000,40039,39407,39802,42450,40751,W. Flexion
40830,39328,39723,39486,38814,40039,42925,40039,W. Flexion
39446,39209,39525,39012,38656,39209,41858,39960,W. Flexion
39842,39842,39723,39209,39328,39091,40356,40632,W. Flexion
41344,40356,40039,39763,39842,40000,37984,40237,W. Flexion
41581,40395,40197,40039,39842,40237,36640,39209,W. Flexion
40118,40356,40039,39842,39842,43043,38063,38814,W. Flexion
38577,40197,39842,39605,39723,43004,40435,39288,W. Flexion
37826,39684,39644,39684,39605,40197,41423,39446,W. Flexion
35691,39170,39486,39644,39763,39881,39605,39328,W. Flexion
35691,39209,39684,39644,40276,40672,38616,39565,W. Flexion
38577,39486,40079,39763,40197,40039,35850,39802,W. Flexion
41027,39446,40158,39881,40276,39130,33913,39407,W. Flexion
41581,39605,40039,39723,40316,38379,32332,37865,W. Flexion
40118,39684,39723,39288,38893,36047,40158,37747,W. Flexion
39486,40197,39723,39605,38577,36877,51541,40751,W. Flexion
40632,40553,39723,40118,39249,38340,50514,44229,W. Flexion
41225,40316,39684,40118,39446,38616,42767,43873,W. Flexion
41027,40158,39921,40237,40356,40514,32925,40869,W. Flexion
40316,40000,40118,40474,41067,40948,25770,38063,W. Flexion
39407,39723,39960,40079,40356,39012,28182,36956,W. Flexion
38893,39407,39605,39367,39170,38616,38024,37312,W. Flexion
38814,39288,39446,38774,38498,42411,47747,38340,W. Flexion
39012,39446,39684,39012,39486,46047,49763,39921,W. Flexion
39328,39684,39842,39565,40790,47747,48300,41027,W. Flexion
39644,40039,39842,40039,40830,45217,45533,41107,W. Flexion
39723,40118,39960,40000,40039,39249,38261,40197,W. Flexion
39881,40039,40000,39723,39091,35059,31106,39328,W. Flexion
39842,39881,40039,39605,38972,34189,30474,39249,W. Flexion
39249,39842,39881,39644,39486,36126,37154,40079,W. Flexion
39170,39881,39921,39684,39446,37035,42095,41265,W. Flexion
39288,40000,40000,39921,39644,37826,42253,40948,W. Flexion
39486,39921,40000,40079,40276,39644,40948,40079,W. Flexion
39644,39842,39842,40039,40316,40514,40474,40316,W. Flexion
39644,39842,39723,39921,40158,40237,40079,39960,W. Flexion
39644,39763,39684,39723,39960,39802,40435,39407,W. Flexion
39525,39605,39644,39565,39486,39565,40632,39209,W. Flexion
39565,39644,39644,39367,39209,39644,39763,38933,W. Flexion
39802,39644,39723,39288,38972,39921,39249,39051,W. Flexion
40000,39842,39842,39446,39170,40237,39249,39486,W. Flexion
40237,40197,40079,39881,39842,40751,39446,39842,W. Flexion
40276,40276,40039,40000,40158,40909,39605,40118,W. Flexion
40158,39960,39881,39802,39802,40553,39605,40158,W. Flexion
39960,39684,39842,39723,39565,40039,39525,40079,W. Flexion
40000,39684,39960,39921,40158,39644,39407,40000,W. Flexion
40039,40000,39960,40237,40672,39446,39367,40039,W. Flexion
39763,39960,39921,40000,40316,39842,38854,39684,W. Flexion
39565,39723,39842,39446,39446,40435,38340,39249,W. Flexion
39525,39605,39644,39209,38933,40316,39091,39407,W. Flexion
39644,39644,39605,39209,38854,40316,40395,39842,W. Flexion
39802,39802,39644,39288,38735,40435,40790,40158,W. Flexion
39842,39881,39802,39525,39051,40395,40988,40197,W. Flexion
39763,39842,39802,39684,39684,40079,41383,39960,W. Flexion
40039,40118,39921,40039,40435,40276,41383,40632,W. Flexion
40237,40276,40118,40276,40790,40395,40514,40948,W. Flexion
40079,40237,40118,40316,40711,39644,39051,40158,W. Flexion
39763,40039,40039,40039,40316,38814,39644,39723,W. Flexion
39763,39842,39960,39763,39802,38695,41502,40197,W. Flexion
39802,39763,39763,39525,39407,38814,40118,40711,W. Flexion
39644,39644,39684,39367,39249,38933,38814,40158,W. Flexion
39605,39842,39684,39605,39446,39565,38774,39565,W. Flexion
39565,39921,39802,39763,39802,40079,37707,38972,W. Flexion
39407,39723,39842,39684,39723,39881,35691,38419,W. Flexion
39407,39723,39802,39684,39644,39605,37470,38854,W. Flexion
39684,39921,39921,39842,39921,39921,39091,39802,W. Flexion
39802,39960,40039,40039,39921,40158,37193,39763,W. Flexion
39763,39842,39921,39881,39881,40276,39170,39644,W. Flexion
39842,39960,39842,39763,39921,40395,41225,39842,W. Flexion
39921,40118,39842,39763,39802,40197,41976,40158,W. Flexion
39763,40039,39921,39684,39644,39921,41858,40158,W. Flexion
39644,40039,40000,39684,39763,39763,41146,39960,W. Flexion
39525,40197,39921,39802,39881,39684,40474,39605,W. Flexion
39288,40197,39881,39881,39960,39684,40000,39486,W. Flexion
39525,39802,39842,39763,39802,39960,39763,39723,W. Flexion
40000,39605,39723,39644,39802,40395,39605,39960,W. Flexion
40197,39684,39684,39605,40118,40395,39446,39960,W. Flexion
39802,39486,39446,39446,40118,40158,37668,39367,W. Flexion
39249,39446,39367,39565,40118,39881,36561,38972,W. Flexion
39209,39763,39723,39842,40395,40356,38458,39486,W. Flexion
39328,40118,40197,39802,39684,40514,40514,40395,W. Flexion
39407,40039,40118,39723,38577,39249,40395,40593,W. Flexion
39486,39960,39802,39644,38735,38814,41739,40000,W. Flexion
39486,39723,39684,39723,39051,40039,42490,39091,W. Flexion
39723,39486,39525,39565,38656,39605,39960,39565,W. Flexion
40435,39881,39605,39565,38893,38933,37193,40632,W. Flexion
40632,40276,39960,39802,40039,38933,36956,40553,W. Flexion
40356,40474,40276,40079,41620,37470,36522,39723,W. Flexion
40118,40514,40316,40356,42371,36798,38458,39644,W. Flexion
39842,40237,40118,40197,41462,35336,40000,39446,W. Flexion
39486,39960,39881,39842,40039,33399,40079,39328,W. Flexion
39209,39723,39644,39644,38893,35375,39684,39249,W. Flexion
