rawDataOut1,rawDataOut2,rawDataOut3,rawDataOut4,rawDataOut5,rawDataOut6,rawDataOut7,rawDataOut8,Action
41344,39605,39723,39763,39486,39446,39525,41225,W. Pronation
42055,40237,40079,40751,42688,38340,39249,38261,W. Pronation
42688,40276,40553,41423,50632,37470,39565,39051,W. Pronation
40435,40000,40711,41225,51699,37193,39723,40158,W. Pronation
39012,39960,40514,40474,50118,38340,39881,40672,W. Pronation
38103,39486,39960,39881,48775,40039,40039,41937,W. Pronation
37075,39051,39605,39486,46877,41581,40118,43320,W. Pronation
37312,39249,39763,39170,41581,41937,39723,41423,W. Pronation
41383,40435,40039,39288,36561,41344,39209,35771,W. Pronation
46087,42213,40276,39763,34585,40356,39723,33557,W. Pronation
44308,41699,39802,39763,34624,39881,40079,37352,W. Pronation
40118,40079,39367,39644,36126,40197,40079,40553,W. Pronation
38063,39288,39367,39407,34348,40593,39921,41027,W. Pronation
37668,39209,39249,39525,30988,39960,39525,40909,W. Pronation
37431,39565,39763,39960,31225,39486,39525,40988,W. Pronation
37826,39525,40000,39644,34940,39130,39525,40790,W. Pronation
38656,39486,39644,39170,40790,38182,39486,40435,W. Pronation
39525,39565,39644,39328,43399,38537,39644,40316,W. Pronation
40000,39644,39802,39446,43636,39407,39802,40158,W. Pronation
40079,39723,39842,39565,43913,39605,39605,39723,W. Pronation
39921,39763,39881,39802,44782,40000,39328,39170,W. Pronation
39288,40079,40514,40869,46561,40593,39605,39249,W. Pronation
38379,40276,40869,41502,47945,39960,39763,39407,W. Pronation
39170,40276,40553,41027,46482,38379,39723,39486,W. Pronation
40790,40039,39960,40079,42490,37786,39802,39644,W. Pronation
41304,39802,39407,39644,41304,38972,39842,39921,W. Pronation
41423,39763,39209,39605,41225,40276,39921,40276,W. Pronation
41225,39802,39170,39446,37865,40395,39881,40197,W. Pronation
40356,39802,39209,39091,35059,40118,39723,39288,W. Pronation
39723,39960,39288,38972,34782,40395,39565,38577,W. Pronation
39565,39921,39446,39130,35850,40988,39644,39130,W. Pronation
39486,39842,39802,39209,36561,41423,39763,39565,W. Pronation
39328,39881,40118,39565,37352,41660,39881,39921,W. Pronation
39367,40079,40316,39802,37786,41067,39881,40118,W. Pronation
39605,40000,40197,39763,38103,40118,39763,40039,W. Pronation
40000,39960,40158,39565,39763,39288,39684,40000,W. Pronation
40000,40000,40197,39644,41265,38933,39684,40039,W. Pronation
39802,40158,40276,39684,40672,38854,39802,40000,W. Pronation
39605,39960,40158,39723,40869,39091,39842,39921,W. Pronation
39288,39763,39802,39763,42253,39249,39842,40118,W. Pronation
38695,39525,39486,39525,41976,39249,39842,40909,W. Pronation
37668,39328,39288,39130,40079,39446,39723,41265,W. Pronation
36877,39209,39723,39328,40158,39684,39407,40276,W. Pronation
37549,39723,41027,39684,40790,39605,38893,37589,W. Pronation
43043,41858,42174,40118,40711,40237,39249,36917,W. Pronation
45059,41976,41383,40276,42371,40830,39842,38814,W. Pronation
42490,40751,40276,40751,42648,40395,39881,40356,W. Pronation
40079,39723,39525,41107,42885,39486,39684,40988,W. Pronation
39091,39209,39170,40869,43399,39763,40000,41067,W. Pronation
39130,39091,38933,40158,42609,39763,40039,40632,W. Pronation
