rawDataOut1,rawDataOut2,rawDataOut3,rawDataOut4,rawDataOut5,rawDataOut6,rawDataOut7,rawDataOut8,Action
41304,39802,39842,39802,39802,39881,39605,39644,W. Supination
40948,40435,40079,39367,38735,39446,40158,40356,W. Supination
41265,40514,40079,39249,38933,39565,40237,40356,W. Supination
39288,38458,38458,38537,39170,39605,39723,39249,W. Supination
36877,37786,37944,38854,39960,39842,39763,38261,W. Supination
38024,40316,40079,40356,40632,40197,40316,38893,W. Supination
41225,42688,41937,41304,40869,40435,40909,40751,W. Supination
41778,41739,41462,41067,40948,40435,40711,41186,W. Supination
39170,39249,39367,40079,40632,39921,40079,39763,W. Supination
38063,38182,38340,39446,40869,39881,39921,38695,W. Supination
37984,37668,38261,39605,41107,39960,40039,38537,W. Supination
38893,38695,39209,39921,40474,39723,40158,38972,W. Supination
39723,40039,40237,39881,39644,39605,40158,39525,W. Supination
40079,40395,40435,39763,39644,39723,40118,39881,W. Supination
40514,40474,40197,39644,39525,39723,40118,40197,W. Supination
40830,40632,39921,39209,38695,39486,40197,40237,W. Supination
40474,40593,39842,39051,38182,39328,40118,40197,W. Supination
40079,40474,39881,39407,39091,39644,40237,40158,W. Supination
39723,39802,39446,39644,40158,39960,40237,39960,W. Supination
39486,39565,39684,40079,40909,40237,40197,39763,W. Supination
39684,40197,40356,40593,40988,40316,40356,40039,W. Supination
40000,40672,40672,40830,40751,40356,40514,40197,W. Supination
40079,40514,40474,40395,40158,40197,40395,40197,W. Supination
40553,40672,40237,39644,39051,39605,40118,40316,W. Supination
41620,41581,40593,39091,37628,39170,40079,40869,W. Supination
41937,41660,40593,38616,36363,38774,40039,40948,W. Supination
40514,39644,38893,38063,36047,38458,39565,39921,W. Supination
37352,37193,36759,37707,37668,38537,39051,38182,W. Supination
36205,37075,36719,38063,40356,39367,39367,37747,W. Supination
36719,38182,38893,40158,43834,40830,40435,38616,W. Supination
38893,40751,41976,43043,46126,42055,41383,39684,W. Supination
40435,41699,43043,43557,45020,41897,41423,39960,W. Supination
40751,40514,41778,42213,42134,40790,40830,39881,W. Supination
40395,39130,39723,40356,39802,39802,40197,39881,W. Supination
39565,38695,38261,38656,38261,39170,39723,39605,W. Supination
39684,39605,38300,37905,37589,38893,39565,39446,W. Supination
41660,41739,40039,38695,37865,39170,40039,40474,W. Supination
41620,41660,40751,39407,38182,39367,40237,40988,W. Supination
40197,39525,39565,39170,37984,39209,40000,40316,W. Supination
38340,38221,38419,38498,37905,38972,39684,39209,W. Supination
38182,38893,38616,38735,39209,39209,39881,38933,W. Supination
39684,40435,39921,39842,40751,39684,40197,39763,W. Supination
40237,40909,40830,40790,41976,40514,40593,40316,W. Supination
39763,40909,41067,41383,42767,41265,40830,39921,W. Supination
39130,40356,40711,41146,42174,40988,40672,39367,W. Supination
